rank,eid,probe,date,t_start,t_end,Dn_mem,EB_mem,n_near,beta_near,T_near,T_bg,n_mem,bz,cone,sza,dp
15,2024-05-23_thd,thd,2024-05-23,2024-05-22T23:11:02Z,2024-05-23T05:10:57Z,0.781,2.406,26.0,0.621,151.0,195.0,676,1.6,61.0,18.4,2.08
16,2023-04-17_tha,tha,2023-04-17,2023-04-17T03:44:02Z,2023-04-17T09:43:59Z,0.775,2.59,50.07,1.149,147.0,152.0,674,2.5,58.2,0.3,2.81
17,2007-08-22_thd,thd,2007-08-22,2007-08-22T20:59:09Z,2007-08-23T02:58:58Z,0.607,3.198,17.85,0.435,114.0,146.0,664,2.3,87.2,17.7,1.35
18,2019-12-09_thd,thd,2019-12-09,2019-12-09T02:12:00Z,2019-12-09T08:11:57Z,0.802,2.635,22.77,0.752,122.0,158.0,643,0.0,46.6,15.7,1.19
19,2016-06-11_tha,tha,2016-06-11,2016-06-10T21:00:02Z,2016-06-11T02:59:57Z,0.555,3.207,16.91,0.175,166.0,220.0,642,1.4,54.4,20.7,3.45
20,2013-01-26_thd,thd,2013-01-26,2013-01-26T03:53:00Z,2013-01-26T09:52:58Z,0.733,1.468,45.27,1.255,241.0,207.0,616,1.6,71.2,10.2,4.59
21,2023-04-12_thd,thd,2023-04-12,2023-04-12T12:43:02Z,2023-04-12T18:42:58Z,0.833,1.723,26.21,0.697,117.0,143.0,615,1.6,62.2,0.6,1.79
22,2023-04-11_thd,thd,2023-04-11,2023-04-11T09:04:01Z,2023-04-11T15:03:57Z,0.503,2.345,13.34,0.327,193.0,251.0,613,2.3,77.5,0.5,2.34
23,2007-08-22_thb,thb,2007-08-22,2007-08-22T20:59:00Z,2007-08-23T02:12:34Z,0.639,3.189,18.65,0.44,129.0,149.0,603,2.3,87.2,17.5,1.35
24,2024-04-18_thd,thd,2024-04-18,2024-04-18T07:36:01Z,2024-04-18T13:35:58Z,0.703,2.428,25.56,0.366,128.0,142.0,601,4.1,82.3,5.5,2.19
25,2016-07-27_the,the,2016-07-27,2016-07-27T16:50:01Z,2016-07-27T22:49:59Z,0.838,2.061,67.12,1.944,156.0,150.0,584,0.6,81.0,21.5,3.02
26,2023-04-14_the,the,2023-04-14,2023-04-14T18:38:02Z,2023-04-15T00:37:56Z,0.686,1.842,25.02,0.434,131.0,157.0,581,1.4,62.9,1.1,1.87
27,2015-05-29_tha,tha,2015-05-29,2015-05-28T23:29:01Z,2015-05-29T05:28:58Z,0.529,1.738,25.18,0.313,131.0,140.0,557,5.1,73.0,8.8,2.48
28,2021-01-12_the,the,2021-01-12,2021-01-12T17:11:02Z,2021-01-12T23:10:56Z,0.768,2.513,20.07,0.748,230.0,258.0,545,2.5,69.1,8.4,1.65
29,2018-09-26_the,the,2018-09-26,2018-09-26T18:18:03Z,2018-09-27T00:17:58Z,0.808,2.696,18.05,1.298,293.0,233.0,544,0.5,20.6,6.2,1.32
30,2019-11-03_the,the,2019-11-03,2019-11-03T15:31:02Z,2019-11-03T21:30:56Z,0.855,2.851,42.01,1.491,115.0,129.0,543,1.3,67.2,17.8,1.81
31,2007-08-27_thd,thd,2007-08-27,2007-08-26T23:26:01Z,2007-08-27T03:40:59Z,0.42,1.545,15.08,0.272,207.0,266.0,534,3.1,54.3,14.8,2.84
32,2007-08-27_the,the,2007-08-27,2007-08-26T23:30:01Z,2007-08-27T03:51:30Z,0.476,1.351,13.82,0.283,233.0,250.0,526,3.0,53.5,14.8,2.83
