encounter_id,date,probe,year,month,sza_deg,cone_deg,clock_deg,cone_bin,dp_nPa,bz_nT,ma,mp_standoff_re,bs_standoff_re,alpha,x_gsm_re,r_re,n_points,near_occ_1d,bg_occ_1d,Dn_1d,EB_1d,evaluable_1d,near_occ_rad,bg_occ_rad,Dn_rad,EB_rad,evaluable_rad,near_occ_jbs,bg_occ_jbs,Dn_jbs,EB_jbs,evaluable_jbs,s_shift_mean,Dn_rad_0.0_0.05,occ_rad_0.0_0.05,Dn_rad_0.0_0.1,occ_rad_0.0_0.1,Dn_rad_0.1_0.2,occ_rad_0.1_0.2,Dn_rad_0.2_0.4,occ_rad_0.2_0.4
2010-08-31_tha,2010-08-31,tha,2010,8,24.5,82.8,320.5,perpendicular,1.02,2.99,8.5,11.4,14.67,0.5558,6.84,7.52,7087,0.8846,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3629,,1.0,,1.0,,0.0,,0.0
2010-08-31_thd,2010-08-31,thd,2010,8,25.9,82.8,320.2,perpendicular,1.04,2.98,8.5,11.37,14.63,0.5559,6.76,7.52,7038,0.8863,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3649,,1.0,,1.0,,0.0,,0.0
2010-01-26_thb,2010-01-26,thb,2010,1,11.8,50.9,71.6,intermediate,1.68,0.63,12.6,10.55,13.5,0.5833,7.73,7.9,7202,1.0,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3239,,1.0,,1.0,,0.0,,0.0
2009-11-16_thd,2009-11-16,thd,2009,11,19.6,54.2,166.4,intermediate,0.57,-1.28,8.7,12.22,15.71,0.5962,7.07,7.5,7089,0.8158,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3661,,1.0,,1.0,,0.0,,0.0
2010-08-28_thd,2010-08-28,thd,2010,8,28.4,84.6,296.0,perpendicular,1.41,0.42,15.4,10.83,13.84,0.5839,6.59,7.49,7121,0.8889,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3642,,1.0,,1.0,,0.0,,0.0
2010-09-01_thd,2010-09-01,thd,2010,9,24.8,72.1,292.2,perpendicular,1.74,2.49,6.5,10.51,13.61,0.5648,6.79,7.48,7122,0.9334,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3453,,1.0,,1.0,,0.0,,0.0
2010-08-29_tha,2010-08-29,tha,2010,8,26.3,63.8,326.1,perpendicular,0.75,1.41,13.6,11.93,15.26,0.5701,6.74,7.52,7083,0.8405,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3749,,1.0,,1.0,,0.0,,0.0
2010-08-29_thd,2010-08-29,thd,2010,8,27.5,66.0,321.1,perpendicular,0.73,1.33,13.4,11.97,15.32,0.5708,6.64,7.49,7121,0.8363,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3775,,1.0,,1.0,,0.0,,0.0
2010-09-02_the,2010-09-02,the,2010,9,22.1,66.7,278.0,perpendicular,1.98,0.6,8.5,10.29,13.23,0.5854,6.93,7.49,7125,0.9304,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3368,,1.0,,1.0,,0.0,,0.0
2010-08-25_the,2010-08-25,the,2010,8,29.3,30.9,208.4,low-cone,1.56,-0.63,12.5,10.57,13.54,0.5954,6.53,7.48,7124,0.9079,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3616,,1.0,,1.0,,0.0,,0.0
2010-08-30_tha,2010-08-30,tha,2010,8,25.3,64.3,334.2,perpendicular,0.71,1.61,13.0,12.03,15.4,0.5679,6.77,7.49,7126,0.833,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.375,,1.0,,1.0,,0.0,,0.0
2010-09-03_thd,2010-09-03,thd,2010,9,23.0,58.8,297.0,intermediate,0.71,0.89,11.1,12.02,15.41,0.5752,6.89,7.49,7098,0.8438,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3715,,1.0,,1.0,,0.0,,0.0
2010-09-04_the,2010-09-04,the,2010,9,,,,,,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,
2010-09-04_tha,2010-09-04,tha,2010,9,20.7,46.5,261.6,intermediate,0.71,-0.08,15.4,12.0,15.34,0.5849,7.01,7.49,7125,0.8356,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3692,,1.0,,1.0,,0.0,,0.0
2010-09-04_thd,2010-09-04,thd,2010,9,22.0,41.3,261.5,low-cone,0.72,-0.09,15.4,11.97,15.3,0.585,6.93,7.47,7052,0.8379,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.371,,1.0,,1.0,,0.0,,0.0
2010-09-01_tha,2010-09-01,tha,2010,9,23.4,71.9,294.3,perpendicular,1.74,2.72,6.5,10.51,13.61,0.5624,6.87,7.49,7125,0.93,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3418,,1.0,,1.0,,0.0,,0.0
2010-09-06_thd,2010-09-06,thd,2010,9,,,,,,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,
2010-09-05_thd,2010-09-05,thd,2010,9,21.2,54.6,268.9,intermediate,0.91,-0.04,12.9,11.56,14.79,0.5857,6.99,7.49,7117,0.863,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3632,,1.0,,1.0,,0.0,,0.0
2010-09-02_tha,2010-09-02,tha,2010,9,22.5,65.6,276.8,perpendicular,2.0,0.5,8.5,10.27,13.21,0.5865,6.91,7.48,7125,0.9232,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3363,,1.0,,1.0,,0.0,,0.0
2010-09-02_thd,2010-09-02,thd,2010,9,24.0,66.4,278.1,perpendicular,2.0,0.6,8.5,10.27,13.21,0.5855,6.85,7.49,7121,0.9287,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3402,,1.0,,1.0,,0.0,,0.0
2010-09-07_thd,2010-09-07,thd,2010,9,,,,,,,,,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,
2010-09-06_tha,2010-09-06,tha,2010,9,18.8,59.9,260.8,intermediate,2.27,-0.47,9.3,10.01,12.86,0.598,7.07,7.47,7029,0.9269,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3185,,1.0,,1.0,,0.0,,0.0
2010-08-30_thd,2010-08-30,thd,2010,8,26.7,63.7,334.5,perpendicular,0.71,1.58,13.0,12.03,15.4,0.5683,6.7,7.49,7121,0.8358,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3768,,1.0,,1.0,,0.0,,0.0
2010-09-03_tha,2010-09-03,tha,2010,9,21.7,59.0,294.0,intermediate,0.71,0.82,11.1,12.02,15.4,0.5759,6.97,7.51,7111,0.8443,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3694,,1.0,,1.0,,0.0,,0.0
2010-09-08_thd,2010-09-08,thd,2010,9,18.6,82.3,194.3,perpendicular,1.87,-4.09,9.2,9.85,12.65,0.6325,7.1,7.5,7071,0.9359,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3105,,1.0,,1.0,,0.0,,0.0
2010-09-08_tha,2010-09-08,tha,2010,9,16.9,82.5,195.4,perpendicular,1.8,-4.07,9.0,9.91,12.73,0.6319,7.14,7.46,7030,0.9293,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3082,,1.0,,1.0,,0.0,,0.0
2010-09-08_the,2010-09-08,the,2010,9,16.6,82.4,194.3,perpendicular,1.88,-4.09,9.2,9.84,12.64,0.6325,7.17,7.49,7030,0.9398,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3051,,1.0,,1.0,,0.0,,0.0
2010-09-09_tha,2010-09-09,tha,2010,9,16.1,86.6,346.6,perpendicular,1.62,1.89,7.3,10.62,13.7,0.5702,7.19,7.48,7029,0.9146,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3301,,1.0,,1.0,,0.0,,0.0
2010-09-05_tha,2010-09-05,tha,2010,9,19.8,53.3,268.9,intermediate,0.89,-0.04,12.9,11.6,14.84,0.5856,7.05,7.49,7125,0.8573,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3616,,1.0,,1.0,,0.0,,0.0
2010-09-09_thd,2010-09-09,thd,2010,9,17.7,84.5,341.3,perpendicular,1.62,1.89,7.0,10.62,13.72,0.5702,7.15,7.51,7119,0.9232,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3328,,1.0,,1.0,,0.0,,0.0
2010-09-10_tha,2010-09-10,tha,2010,9,15.2,76.6,334.1,perpendicular,0.79,2.57,8.7,11.85,15.24,0.5587,7.21,7.47,7029,0.8573,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3581,,1.0,,1.0,,0.0,,0.0
2010-09-09_the,2010-09-09,the,2010,9,15.7,84.5,341.3,perpendicular,1.62,1.89,7.0,10.62,13.72,0.5702,7.2,7.48,7029,0.9229,0.0,,,False,0.0,0.0,,,False,0.0,0.0,,,False,0.3299,,1.0,,1.0,,0.0,,0.0
