eid,sza_med,Dn_1d,Dn_radial,dDn,EB_1d,EB_radial
2008-09-14_thc,3.172378172710324,0.4201,4.3769,3.9568,9.7028,2.9081
2008-09-18_thc,1.5883466594028344,0.1178,0.8781,0.7603,6.0021,2.6679
2008-09-16_thc,2.376490156610757,0.5002,1.126,0.6257999999999999,5.3773,1.7141
2008-09-15_thc,5.550476025181976,0.2829,3.8481,3.5652,11.191,2.5515
2008-09-20_thb,11.58340919766757,0.1366,2.3707,2.2340999999999998,15.0692,4.2551
2008-09-20_thc,0.7905594014414252,0.0684,0.9241,0.8557,4.3722,1.6451
2008-09-21_thb,11.693348940979018,0.0749,1.0454,0.9705000000000001,6.5308,1.7703
2008-09-17_thb,9.938306446297483,0.3597,1.1893,0.8296,6.0049,1.6471
2008-09-24_thb,14.242083338923827,0.0181,0.8235,0.8054,5.3481,1.8431
2008-09-25_thb,14.229757546143643,0.018,0.8145,0.7965,5.3578,1.8429
2008-09-29_thb,16.194014374652806,0.0254,0.9854,0.9600000000000001,5.2628,1.5268
2008-09-30_thc,6.982406049223068,0.0725,1.1184,1.0459,3.8028,0.9663
2008-09-28_thb,16.32719634340572,0.0257,0.9629,0.9372,4.7346,1.6463
2009-07-23_thc,13.935932390614786,0.5535,0.9115,0.358,4.3834,1.7596
2009-07-25_thb,10.608577838548403,3.9239,4.0024,0.07849999999999957,4.7398,4.7002
2009-07-13_thb,11.832502463096706,0.1515,1.3006,1.1491,16.4548,0.8876
2009-07-17_thb,11.313379225161087,0.062,0.7826,0.7205999999999999,7.2823,3.1025
2009-07-21_thb,10.83194839013048,6.0587,6.126,0.06730000000000036,5.6522,5.8228
2009-08-07_thc,12.524762201543437,5.2988,5.5579,0.2591000000000001,3.819,3.8975
2009-07-30_thc,16.131001325320856,1.0164,1.0455,0.029100000000000126,1.6091,1.58
2009-08-05_thc,12.392115468966242,1.5189,1.4647,-0.054200000000000026,1.506,1.5653
2009-08-10_thc,12.017830564509667,3.456,2.9155,-0.5404999999999998,5.9174,7.0518
2009-08-08_thc,12.518075654992236,5.2965,5.5709,0.2744,3.9328,3.9731
2009-09-03_tha,15.790985666138466,0.0809,1.231,1.1501000000000001,8.4376,2.2341
2009-09-13_tha,12.268933528361504,1.0488,1.2406,0.19179999999999997,1.8518,1.4662
2009-09-13_thd,6.752865745965303,0.8181,2.1051,1.2870000000000001,1.6512,2.1503
2009-09-14_tha,12.159474908868178,1.231,1.2827,0.05169999999999986,1.3286,1.3381
2009-09-17_tha,10.344085036657866,1.1636,1.1656,0.0020000000000000018,0.9865,1.0185
2009-09-13_the,7.193773738970186,0.974,0.8745,-0.09949999999999992,1.7736,1.7557
2009-09-15_tha,11.822339034077897,1.0441,1.0806,0.03649999999999998,1.1734,1.1158
2009-09-25_thc,6.03545903187414,5.8066,5.9805,0.17389999999999972,5.0825,5.0551
2009-09-26_thd,1.3379062373945136,0.7368,0.72,-0.016800000000000037,2.4284,2.4132
2009-10-01_thc,1.2111052926580195,2.8211,3.2035,0.3824000000000001,4.2254,3.8088
2009-09-27_thd,0.9154634530992996,0.9162,0.9051,-0.011099999999999999,1.8664,1.7641
2009-09-27_the,1.3562778299982863,0.9893,0.9787,-0.010599999999999943,1.3572,1.4263
2009-10-05_thc,1.860273950900073,0.1254,4.4144,4.289,3.8866,4.3818
2009-10-02_thc,0.4381501883917706,1.3056,2.7148,1.4091999999999998,2.0294,3.2439
2009-09-26_the,1.7803702242870139,0.9713,0.9947,0.023399999999999976,1.3659,1.1601
2009-10-12_thb,18.507124370635854,3.4492,2.9224,-0.5267999999999997,7.2204,7.662
2009-10-13_thc,3.144210961893503,0.0218,0.9768,0.955,4.9015,2.0721
2009-10-16_thc,13.448138769810665,3.1331,3.6213,0.48819999999999997,5.8343,6.2439
2009-10-22_tha,5.890471197128214,1.2353,1.4699,0.23459999999999992,1.5673,1.3773
2009-10-20_thc,11.623389775800598,0.0209,1.0476,1.0267000000000002,5.5568,1.4532
2009-10-23_tha,6.527354168034111,0.6805,1.715,1.0345,3.0628,8.0388
2009-11-11_thb,14.489303074190852,8.3143,6.2537,-2.060599999999999,3.8399,5.6251
2009-11-12_thb,22.96306291857283,0.0143,0.012,-0.0023,4.2474,2.7486
2009-12-01_thb,22.06427909021081,4.4085,2.6257,-1.7828,4.5789,1.9375
2010-10-11_the,6.760087490333914,0.006,1.2967,1.2907,2.0575,1.4967
2010-10-11_tha,5.4206613637687,0.4931,1.2822,0.7891,1.9133,1.5546
2010-10-23_thd,12.013498908508618,1.3667,1.3284,-0.0383,1.2105,1.1999
2010-10-23_the,11.60554987947604,1.3701,1.4009,0.03079999999999994,1.2534,1.2564
2010-10-23_tha,11.280146573091102,1.3771,1.4017,0.024599999999999955,1.2582,1.2308
2010-10-11_thd,7.169633355677843,0.007,1.3065,1.2995,2.2085,1.5273
2010-11-10_the,17.951870835038733,1.962,2.1825,0.22050000000000014,2.046,1.9733
2010-11-10_tha,19.245990957565578,1.5765,1.9201,0.3435999999999999,2.9298,2.8359
2013-01-13_thd,14.32049284474317,0.69,0.9109,0.2209000000000001,1.914,1.7501
2013-01-18_thd,13.050727314211368,4.7775,4.815,0.03750000000000053,1.0915,0.9933
2013-01-19_tha,12.96150242914092,1.2577,1.2406,-0.017100000000000115,1.218,1.271
2013-01-26_tha,10.152805701349287,0.751,0.8625,0.11150000000000004,1.3619,1.2057
2013-01-26_thd,10.24170734276918,0.4918,0.7239,0.23209999999999997,2.1741,1.4137
2013-01-26_the,11.058334313039405,0.7087,0.7884,0.0797,1.5588,1.3465
2014-02-16_tha,1.2571917928560143,0.0492,2.0162,1.967,2.7244,0.9759
2014-02-15_the,6.77345471632457,0.9659,6.4775,5.5116,17.5441,4.2015
2014-02-19_the,5.678448129606294,0.3256,0.5776,0.252,1.3856,0.1599
2014-02-23_the,4.072038517071109,0.2296,3.1662,2.9366,10.3368,8.4648
2014-02-27_the,3.4275350782732064,1.97,1.7268,-0.24320000000000008,1.0277,0.9691
2014-02-28_tha,1.1640081668458853,0.6029,0.7591,0.1562,2.0739,1.7405
2014-02-27_thd,5.712020270456194,1.8186,2.0473,0.2286999999999999,2.2966,2.3094
2014-02-23_thd,6.332916086179013,39.9956,102.696,62.700399999999995,1.7009,0.6459
2014-03-20_the,1.3282307030271598,0.9825,0.9833,0.0007999999999999119,1.444,1.4585
2014-03-25_thd,0.7820250072438638,2.7266,2.7536,0.027000000000000135,1.0511,0.943
2014-03-26_the,3.273189226313563,0.5329,0.7851,0.2522,2.3722,2.1122
2014-04-05_tha,6.692250658691808,0.1817,9.1949,9.013200000000001,15.9997,3.7489
2015-03-17_tha,21.990252061345203,0.7086,2.409,1.7003999999999997,3.3547,1.4583
2015-03-17_the,21.800305668423132,0.4683,1.0092,0.5409000000000002,2.3746,1.0455
2015-04-14_thd,1.077443348370188,0.2461,11.2006,10.9545,14.4736,4.2057
2015-04-14_the,0.9961243660103046,0.0405,8.341,8.3005,9.2867,2.5724
2015-04-15_tha,1.825693129826531,0.9724,4.1008,3.1283999999999996,15.8355,4.6412
2015-04-15_the,1.1329209083823466,0.2202,1.3139,1.0937000000000001,5.13,1.0442
2015-04-15_thd,1.4205277364050846,0.2823,1.2178,0.9355,5.3531,1.2876
2015-04-16_thd,1.7594910422337442,0.2663,1.3454,1.0791,3.837,1.4298
2015-04-16_the,1.4291951536783147,0.2837,1.2777,0.994,3.8986,0.9095
2015-04-20_thd,3.1063070971156463,0.0538,1.5199,1.4661,3.0569,0.8964
2015-04-20_the,2.6413852305305787,0.0553,1.7903,1.735,3.8102,0.5488
2015-04-14_tha,2.065927922517688,0.0936,6.1528,6.0592,12.3807,4.3076
2015-04-16_tha,1.584741399492827,0.2,1.0488,0.8488,4.3485,1.0747
2015-04-21_tha,0.381569925171278,0.1187,1.3804,1.2617,3.9892,1.8238
2015-05-01_tha,2.113235119214632,1.0357,1.0424,0.006699999999999928,1.3393,1.3011
2015-05-06_the,7.402036955129247,1.1169,1.3427,0.2258,1.2298,1.1561
2015-05-07_thd,9.171082886959564,5.9466,5.8057,-0.14090000000000025,0.3865,0.418
2015-04-20_tha,0.6267495602104176,0.1266,5.344,5.2174000000000005,11.0289,1.6745
2015-05-20_thd,12.411381762233605,0.8236,0.8149,-0.008700000000000041,1.3314,1.376
2015-05-20_tha,6.6479738875842695,0.7438,0.6947,-0.04910000000000003,1.5652,1.6734
2015-05-07_the,7.6913030146366435,0.0822,0.0864,0.004200000000000009,3.9009,3.9608
2015-06-08_the,15.198460212279018,1.2369,1.8081,0.5711999999999999,2.2198,1.3468
2015-06-08_tha,11.000413121641182,0.2718,1.8255,1.5536999999999999,2.3765,1.3982
2015-06-08_thd,17.172865167397486,0.3401,1.5095,1.1694,2.1008,1.3577
2015-06-23_tha,14.972775303210208,1.3461,0.3735,-0.9726000000000001,1.4851,0.9192
2016-06-11_tha,20.666267111067274,1.0039,0.9225,-0.08140000000000003,2.0974,2.3146
2016-06-22_tha,21.475538517395414,6.7508,1.417,-5.3338,4.9352,0.638
2016-06-25_tha,21.89586907580214,0.8645,0.7669,-0.09760000000000002,1.3673,1.8965
2016-06-15_tha,19.768072137705182,0.7047,3.1086,2.4039,11.2677,2.4471
2016-06-23_tha,21.33645153184056,2.1805,0.8171,-1.3634,4.0955,2.0652
2016-06-26_tha,22.47649844780251,1.0848,1.1004,0.015600000000000058,1.135,1.1878
2016-06-24_thd,24.259631396406554,0.6874,0.7566,0.06920000000000004,3.5264,1.4178
2016-06-27_tha,22.355516109058584,1.185,1.1523,-0.03269999999999995,1.2717,1.2779
2016-06-24_tha,21.406372656388992,1.2783,1.1582,-0.1201000000000001,1.7472,1.7817
2016-06-30_tha,22.62163898795357,1.0249,0.963,-0.061899999999999955,0.7805,0.8752
2016-07-03_thd,24.519820481325272,1.6694,2.0975,0.42810000000000015,1.2743,1.3408
2016-07-02_the,23.077460210759448,0.6939,0.5778,-0.11609999999999998,1.1887,2.1435
2016-07-20_thd,23.136849892347236,6.9044,6.8347,-0.0697000000000001,2.4407,2.0928
2016-07-28_tha,23.832881280172302,0.1163,0.0575,-0.0588,17.0542,10.8085
2016-07-24_tha,23.716123015262575,1.2997,1.0926,-0.20710000000000006,1.3433,1.3041
2016-07-24_the,21.87908752985398,1.3755,1.0921,-0.2833999999999999,1.505,1.7466
2016-08-03_tha,23.327272512556362,0.1336,0.9078,0.7742,1.8283,1.3642
2016-07-25_tha,23.943810099957062,0.532,0.0126,-0.5194000000000001,3.4829,5.2288
2016-07-28_the,21.347552241258725,0.2352,0.3377,0.10250000000000001,2.792,2.3502
