eid,probe,bz,bz_sign,clock,cone,sza,dp,ma,bx,Dn_mem,EB_mem,n_near,beta_near,T_near,n_mem,cls
2015-07-11_thd,thd,-4.5,0,109.5,56.2,29.8,10.02,6.4,-9.68,1.2281,1.4811,70.21,2.7358,355.6,546,AMBIGUOUS
2015-07-11_the,the,-4.5,0,109.6,56.3,27.7,10.01,6.4,-9.63,1.1597,1.6647,93.13,2.295,342.0,409,AMBIGUOUS
2016-05-27_tha,tha,-2.06,0,195.1,59.2,16.8,5.0,23.6,1.75,1.6367,1.0825,74.66,3.0075,164.8,381,AMBIGUOUS
2016-06-10_tha,tha,-0.13,0,90.9,66.3,18.6,3.58,6.9,-4.03,0.4448,2.1352,14.44,0.1387,159.7,553,AMBIGUOUS
2016-06-11_tha,tha,1.44,1,75.6,54.4,20.7,3.45,6.8,-5.63,0.5548,3.2065,16.91,0.1748,166.2,642,CONFIRMED_PDL
2016-06-12_tha,tha,1.72,1,352.7,55.7,19.3,3.18,7.7,-4.6,0.7979,2.3959,18.33,0.7135,282.5,377,CONFIRMED_PDL
2016-06-15_tha,tha,3.09,1,51.7,45.5,19.8,4.48,9.1,-5.66,2.9667,3.6002,21.03,2.3786,491.3,121,AMBIGUOUS
2016-06-19_tha,tha,1.13,1,56.2,54.5,21.0,1.76,12.5,-2.12,0.4995,4.0849,3.68,0.2688,535.9,812,CONFIRMED_PDL
2016-06-22_tha,tha,-0.44,0,260.1,75.5,21.5,2.55,14.0,1.04,1.4975,0.6973,56.73,16.0388,139.2,722,AMBIGUOUS
2016-06-23_tha,tha,2.45,1,303.5,48.0,21.3,2.23,6.2,5.83,1.0825,2.2156,28.65,0.4401,101.3,816,AMBIGUOUS
2016-06-24_tha,tha,-0.28,0,265.9,75.8,21.4,2.15,10.3,1.26,1.0691,2.2646,13.2,0.8878,328.1,834,AMBIGUOUS
2016-06-24_thd,thd,-3.85,0,156.7,69.4,24.3,3.5,11.4,2.08,0.8061,1.8681,4.41,2.1478,1927.8,723,BOUNDARY_LAYER
2016-06-25_tha,tha,-1.08,0,247.4,70.3,21.9,1.99,10.5,1.53,0.6466,2.0368,11.59,0.7535,267.9,477,AMBIGUOUS
2016-06-26_tha,tha,-3.23,0,214.5,59.2,22.5,2.21,8.0,3.32,1.0606,1.4993,15.96,1.3746,297.3,848,AMBIGUOUS
2016-06-27_tha,tha,-2.31,0,221.2,59.6,22.4,2.14,8.6,3.03,1.1574,1.5897,16.71,1.6055,294.2,662,AMBIGUOUS
2016-06-28_tha,tha,0.24,1,275.9,59.5,22.6,1.59,10.2,2.2,1.2176,2.37,12.66,0.8717,280.4,1000,AMBIGUOUS
2016-06-29_tha,tha,0.97,1,286.4,77.9,22.7,1.35,9.5,0.9,0.1952,3.3595,5.14,0.1709,196.6,732,AMBIGUOUS
2016-07-01_thd,thd,-1.46,0,106.7,84.2,24.5,3.21,9.1,0.71,1.094,2.0,8.17,1.2815,1083.6,659,AMBIGUOUS
2016-07-03_the,the,0.53,1,277.5,45.2,23.1,2.96,8.8,4.89,0.8091,1.8107,30.6,1.4558,254.9,191,CONFIRMED_PDL
2016-07-16_tha,tha,0.13,1,82.1,70.3,23.7,1.6,13.7,-1.08,0.0444,3.3833,0.44,0.0391,596.6,130,BOUNDARY_LAYER
2016-07-17_tha,tha,1.0,1,335.3,23.4,24.0,1.7,10.8,-3.9,0.1899,3.0381,3.65,0.1483,277.8,250,AMBIGUOUS
2016-07-18_tha,tha,1.14,1,338.9,24.3,24.3,1.69,11.0,-3.82,0.1717,3.374,3.37,0.1421,289.5,256,AMBIGUOUS
2016-07-24_tha,tha,0.56,1,273.6,87.9,23.7,5.04,7.6,0.39,1.2811,1.478,56.62,1.1083,178.1,351,AMBIGUOUS
2016-07-24_the,the,-1.67,0,257.1,85.4,21.9,4.7,7.5,0.82,1.1925,1.6439,63.64,1.6773,223.5,458,AMBIGUOUS
2016-07-25_tha,tha,-0.58,0,156.7,38.9,23.9,2.74,23.5,-1.96,0.0394,5.8948,1.29,0.0583,486.6,34,BOUNDARY_LAYER
2016-07-26_tha,tha,-0.25,0,104.6,43.5,23.9,2.73,22.4,-1.96,0.0387,6.5593,1.3,0.0583,480.1,32,BOUNDARY_LAYER
2016-07-27_the,the,0.62,1,289.7,81.0,21.5,3.02,14.9,0.66,0.838,2.0605,67.12,1.9437,156.2,584,CONFIRMED_PDL
2016-07-28_thd,thd,-1.82,0,107.6,86.2,21.6,3.65,10.4,0.47,3.1146,0.8941,19.53,8.5291,1094.1,694,AMBIGUOUS
2016-07-28_the,the,-4.06,0,238.6,68.2,21.3,5.09,7.5,4.19,0.3216,2.6214,14.9,0.1664,362.9,217,AMBIGUOUS
2016-07-29_tha,tha,0.65,1,289.9,66.5,23.4,2.83,12.2,1.96,0.1037,3.2712,1.29,0.0743,738.8,591,BOUNDARY_LAYER
2016-08-02_tha,tha,-0.72,0,91.9,86.2,24.5,6.3,3.8,1.47,0.9694,1.6196,54.72,0.1485,85.6,529,AMBIGUOUS
2016-08-02_thd,thd,3.53,1,22.3,53.5,20.4,7.6,12.2,4.62,1.2383,3.4492,32.05,5.0063,1082.7,469,AMBIGUOUS
2016-08-02_the,the,1.24,1,83.5,77.5,20.5,4.42,3.9,3.89,2.4445,1.1926,70.87,0.5989,140.6,469,AMBIGUOUS
2016-08-03_tha,tha,2.94,1,82.3,84.9,23.3,6.49,3.8,2.08,0.8573,1.5544,53.64,0.1408,83.3,509,CONFIRMED_PDL
2017-07-26_tha,tha,-0.3,0,98.4,74.2,26.1,2.5,11.0,-1.33,0.9407,1.9464,8.0,2.0801,544.9,778,AMBIGUOUS
2017-08-01_tha,tha,4.55,1,322.3,60.4,23.9,1.78,6.4,3.65,0.9136,1.3801,9.92,0.3598,205.2,318,AMBIGUOUS
2017-08-02_tha,tha,4.42,1,320.6,60.0,24.0,1.72,6.3,3.71,1.1639,1.2776,11.34,0.4611,205.8,432,AMBIGUOUS
2017-08-03_thd,thd,1.22,1,276.4,67.6,18.1,7.19,7.6,5.46,1.0103,1.1446,109.66,1.2925,159.1,513,AMBIGUOUS
2017-08-05_tha,tha,-0.65,0,111.6,40.4,22.7,2.13,12.3,-3.19,1.3188,2.0069,7.08,1.8049,550.8,799,AMBIGUOUS
2017-08-06_tha,tha,-1.12,0,147.9,27.1,22.0,2.05,11.4,-3.97,0.2986,2.9287,1.82,0.0858,329.6,351,BOUNDARY_LAYER
2017-08-06_the,the,-1.86,0,146.3,51.5,19.6,2.62,10.8,-3.15,0.5452,2.8323,6.62,0.2264,375.4,343,AMBIGUOUS
2017-08-09_tha,tha,-0.66,0,134.1,64.9,21.5,1.49,11.6,-1.6,0.2188,3.105,3.84,0.2252,307.8,353,AMBIGUOUS
2017-08-12_the,the,2.0,1,284.9,54.3,17.8,3.0,5.7,6.11,1.3801,1.4569,31.73,1.8298,349.2,452,AMBIGUOUS
2017-08-16_the,the,-2.37,0,112.8,65.3,15.5,2.86,8.3,-3.04,0.7853,1.9546,36.18,1.0723,170.6,254,AMBIGUOUS
2017-08-17_thd,thd,2.13,1,63.3,45.0,13.7,3.67,8.1,-5.89,0.9029,1.8629,34.89,0.791,191.1,429,AMBIGUOUS
2017-08-18_thd,thd,1.15,1,56.4,49.3,13.3,3.41,9.1,-4.64,1.4657,1.1586,20.8,1.8183,386.5,761,AMBIGUOUS
2017-08-21_the,the,-0.69,0,192.4,56.3,13.9,1.56,13.6,-1.81,0.581,1.745,7.31,2.49,586.3,360,AMBIGUOUS
2017-08-22_thd,thd,-1.51,0,132.2,71.8,10.7,3.12,18.4,0.92,1.984,0.439,42.17,52.7672,367.6,733,AMBIGUOUS
2017-08-25_the,the,-0.24,0,95.3,43.5,12.7,1.48,9.3,-3.35,0.5601,1.6817,26.97,1.9823,189.9,331,AMBIGUOUS
2017-08-30_tha,tha,0.87,1,295.2,34.5,11.9,1.65,11.8,3.17,0.7382,2.3872,24.15,0.9876,150.2,392,CONFIRMED_PDL
2017-09-01_tha,tha,-0.04,0,268.1,36.4,11.7,2.35,13.1,-3.28,0.9234,3.4164,10.16,0.486,364.7,623,AMBIGUOUS
2017-09-02_tha,tha,-2.29,0,132.3,57.4,11.2,2.58,9.4,-3.42,2.3961,4.2219,7.8,1.5601,663.2,316,AMBIGUOUS
2017-09-03_tha,tha,0.23,1,49.0,38.0,10.5,1.53,11.7,-2.94,1.0097,1.7903,10.77,2.0851,334.0,941,AMBIGUOUS
2017-09-04_tha,tha,-1.62,0,137.6,77.4,9.6,2.1,12.2,0.89,1.2269,1.3384,18.66,3.2533,301.6,762,AMBIGUOUS
2017-09-07_tha,tha,-9.72,0,160.7,89.2,8.1,1.88,3.7,0.16,1.2452,2.2071,14.3,0.256,370.6,547,AMBIGUOUS
2017-09-08_tha,tha,-9.72,0,167.7,89.4,8.6,1.92,3.5,0.13,1.2572,2.205,14.02,0.2538,362.6,432,AMBIGUOUS
2017-09-11_tha,tha,0.16,1,73.8,80.1,6.4,2.74,22.6,-0.46,0.5873,3.6501,8.77,0.2279,225.6,258,CONFIRMED_PDL
2017-09-14_tha,tha,0.02,1,89.7,52.7,4.3,3.13,9.2,-3.96,0.3719,1.1632,12.02,1.5954,467.9,576,AMBIGUOUS
2017-09-15_tha,tha,-1.53,0,114.4,51.8,4.3,3.14,9.8,-4.0,1.2989,1.9628,12.06,1.1875,506.5,474,AMBIGUOUS
2017-09-15_thd,thd,-1.57,0,132.6,51.1,0.1,3.13,11.1,-3.58,0.9855,2.2245,11.21,0.9785,516.7,588,AMBIGUOUS
2017-09-16_tha,tha,-1.27,0,110.2,49.2,4.1,3.18,9.8,-4.26,1.1566,1.8102,12.03,1.2105,512.7,476,AMBIGUOUS
2017-09-17_the,the,-0.41,0,107.8,45.5,2.0,2.12,13.8,-2.6,0.2515,4.84,2.12,0.0803,520.0,224,BOUNDARY_LAYER
2017-09-18_tha,tha,-1.18,0,118.1,64.0,3.1,2.98,12.3,-2.15,1.4487,1.6169,12.28,1.7197,548.5,673,AMBIGUOUS
2017-09-18_the,the,-0.79,0,115.3,65.7,1.6,3.01,12.7,-1.99,1.8322,2.2883,22.72,7.0741,602.3,433,AMBIGUOUS
2017-09-19_the,the,0.48,1,55.3,27.2,0.9,1.56,11.1,-3.58,0.1125,3.7687,1.71,0.1064,483.2,388,AMBIGUOUS
2017-09-20_the,the,-1.15,0,135.5,25.3,0.0,2.01,10.0,-4.54,0.1259,3.134,2.38,0.076,281.6,374,BOUNDARY_LAYER
2017-09-22_the,the,-3.8,0,179.1,86.4,1.2,1.8,9.3,-0.32,0.7103,1.9459,29.4,1.1258,157.9,459,AMBIGUOUS
2017-09-23_the,the,-1.28,0,125.9,40.7,1.5,1.79,11.7,-3.09,0.0638,3.9449,2.93,0.1025,328.8,88,AMBIGUOUS
2017-09-27_tha,tha,-4.59,0,150.9,42.7,2.7,4.3,7.3,-7.67,2.4384,2.7655,37.64,2.6816,395.3,49,AMBIGUOUS
2017-09-27_thd,thd,-2.89,0,119.2,45.8,5.4,4.57,6.9,-7.71,1.7146,1.4029,25.32,3.0102,540.4,615,AMBIGUOUS
2017-09-27_the,the,-5.59,0,157.2,56.9,3.1,5.59,7.8,-5.84,1.915,2.966,49.93,3.2197,371.0,51,AMBIGUOUS
2017-09-28_the,the,-0.52,0,113.1,56.4,4.0,2.86,13.2,-2.53,0.1265,4.972,2.03,0.0652,611.1,293,BOUNDARY_LAYER
2017-10-11_the,the,-3.55,0,136.1,78.5,8.9,4.32,9.9,-1.46,0.888,2.3751,77.96,1.2848,179.7,397,AMBIGUOUS
2017-10-12_the,the,-1.78,0,124.6,68.0,9.8,4.59,15.5,-1.87,0.1136,4.15,4.55,0.0998,362.0,279,BOUNDARY_LAYER
2017-11-07_thd,thd,-6.04,0,129.8,68.2,29.3,9.26,7.8,-5.09,0.7046,1.2311,89.52,3.0438,222.6,495,AMBIGUOUS
2018-08-15_thd,thd,-4.23,0,156.1,74.8,21.0,4.54,9.5,-2.05,1.1532,1.6827,37.28,1.1332,232.3,489,AMBIGUOUS
2018-08-17_thd,thd,-1.41,0,111.6,65.5,25.8,3.04,9.5,-2.69,0.1845,2.1145,3.81,0.1384,382.8,22,AMBIGUOUS
2018-08-26_tha,tha,-14.99,0,161.7,75.4,9.0,6.12,4.9,-4.43,1.3298,1.4255,38.58,0.1445,120.1,562,AMBIGUOUS
2018-08-26_thd,thd,-4.64,0,115.4,72.7,10.4,4.56,5.5,-4.22,0.712,1.6495,22.4,0.2662,317.1,460,AMBIGUOUS
2018-08-31_thd,thd,0.11,1,271.7,80.6,19.9,1.9,12.0,-0.68,0.6183,2.3074,19.01,0.9327,222.6,490,CONFIRMED_PDL
2018-09-04_thd,thd,0.56,1,331.8,78.3,4.2,4.6,22.0,-0.7,1.928,1.0241,118.73,12.6749,169.1,413,AMBIGUOUS
2018-09-07_the,the,0.58,1,289.0,73.8,3.2,5.82,23.5,-0.95,1.189,1.3161,134.31,9.3471,190.5,257,AMBIGUOUS
2018-09-10_thd,thd,1.91,1,74.9,52.3,1.3,4.03,6.0,-7.44,0.5004,2.3147,16.8,0.1964,248.1,113,CONFIRMED_PDL
2018-09-10_the,the,-5.36,0,150.1,76.6,0.5,5.8,8.6,-2.27,1.1398,1.6917,91.88,1.955,212.5,337,AMBIGUOUS
2018-09-11_tha,tha,-3.24,0,133.2,41.7,0.5,4.72,7.1,-8.22,2.475,4.0397,20.05,0.9898,395.8,242,AMBIGUOUS
2018-09-11_thd,thd,1.92,1,74.9,52.3,0.3,4.01,6.0,-7.45,0.6807,2.557,21.67,0.2192,241.1,108,CONFIRMED_PDL
2018-09-13_tha,tha,-0.11,0,91.9,56.0,1.3,2.33,9.3,-3.25,1.012,1.6191,15.29,1.0715,263.7,738,AMBIGUOUS
2018-09-13_the,the,-1.68,0,122.8,70.0,0.6,3.03,12.6,-1.67,0.9913,1.6495,33.6,1.8271,314.9,424,AMBIGUOUS
2018-09-14_tha,tha,1.09,1,55.7,65.6,1.8,2.24,11.4,-1.91,1.1333,2.069,10.13,1.4394,451.3,669,AMBIGUOUS
2018-09-17_tha,tha,-1.14,0,229.6,79.2,2.4,3.19,12.1,-1.19,1.8838,0.852,45.25,2.6462,185.0,441,AMBIGUOUS
2018-09-17_thd,thd,1.88,1,315.8,72.8,3.6,2.05,12.2,1.24,0.1229,3.5557,1.92,0.0851,563.4,385,BOUNDARY_LAYER
2018-09-18_tha,tha,-1.15,0,235.4,65.6,3.0,1.67,12.4,1.55,1.4958,2.0959,11.38,2.9047,407.7,863,AMBIGUOUS
2018-09-18_thd,thd,1.88,1,315.4,65.4,2.7,1.98,12.2,1.73,0.1796,3.8361,2.47,0.1235,462.3,410,AMBIGUOUS
2018-09-21_thd,thd,0.31,1,279.4,77.2,10.6,0.88,13.9,0.52,0.6366,4.0377,12.43,0.4179,115.6,797,CONFIRMED_PDL
2018-09-22_thd,thd,-3.4,0,119.6,62.3,4.3,2.75,7.0,-3.96,1.5923,1.5665,60.37,1.3977,145.6,486,AMBIGUOUS
2018-09-23_thd,thd,0.53,1,274.2,60.8,5.5,2.77,6.9,4.13,0.2737,2.0452,7.81,0.2923,256.5,420,AMBIGUOUS
2018-09-23_the,the,-2.41,0,119.8,84.4,4.1,2.25,9.0,-0.57,1.5907,1.6484,37.85,2.3497,272.5,393,AMBIGUOUS
2018-09-24_the,the,0.82,1,325.2,47.8,4.9,4.27,19.9,-2.43,0.0771,4.0607,2.6,0.1316,576.6,135,AMBIGUOUS
2018-09-25_the,the,0.6,1,75.1,39.3,5.9,3.75,10.1,-5.06,5.256,0.9936,119.69,99.1051,269.4,369,AMBIGUOUS
2018-09-26_tha,tha,-0.05,0,94.2,47.5,7.3,1.69,11.5,-2.68,0.9237,2.183,15.46,1.5174,241.5,380,AMBIGUOUS
2018-09-26_thd,thd,0.51,1,28.8,45.7,6.4,2.1,12.8,-2.8,5.6914,7.2293,31.11,1.7583,146.6,12,AMBIGUOUS
2018-09-26_the,the,0.54,1,72.0,20.6,6.2,1.32,8.0,-4.69,0.8084,2.696,18.05,1.298,292.8,544,CONFIRMED_PDL
2018-09-27_the,the,0.41,1,74.4,21.7,9.0,1.31,8.5,-4.06,1.2512,1.7425,26.99,6.2627,273.7,248,AMBIGUOUS
2018-09-28_the,the,-2.62,0,148.8,72.9,6.3,2.36,13.2,1.17,3.2242,5.7696,30.19,4.1785,379.6,77,AMBIGUOUS
2018-09-30_thd,thd,-0.94,0,127.4,35.8,8.3,1.27,11.0,-2.84,0.5153,9.9659,2.54,0.0638,206.8,36,BOUNDARY_LAYER
2018-09-30_the,the,-1.06,0,137.7,34.7,8.0,1.12,12.7,-2.46,1.9681,4.2639,16.27,3.1713,199.8,59,AMBIGUOUS
2018-10-01_thd,thd,-0.81,0,103.0,86.8,10.8,2.68,12.1,-0.27,1.5405,3.038,25.87,1.1906,239.1,407,AMBIGUOUS
2018-10-03_the,the,-0.21,0,134.3,53.7,8.5,1.51,19.7,-1.27,0.0561,4.8821,1.37,0.0975,437.0,38,BOUNDARY_LAYER
2018-10-15_tha,tha,-0.12,0,267.2,57.8,16.8,1.7,11.9,2.03,0.7572,6.1593,2.97,0.1694,355.5,12,AMBIGUOUS
2018-10-16_tha,tha,0.06,1,271.4,59.0,16.8,1.68,11.9,1.98,0.537,6.1399,2.16,0.1553,478.4,341,CONFIRMED_PDL
2018-10-21_tha,tha,2.49,1,30.6,81.5,19.5,3.73,10.4,-0.96,1.4405,3.0032,51.05,1.2608,151.5,513,AMBIGUOUS
2018-10-23_tha,tha,1.46,1,308.1,55.3,20.5,2.19,13.3,2.18,0.2358,5.1872,6.5,0.2141,210.3,20,AMBIGUOUS
2018-10-24_tha,tha,1.44,1,307.9,56.6,20.0,2.18,13.4,2.11,0.134,3.1991,6.46,0.2136,210.8,27,AMBIGUOUS
2018-10-25_tha,tha,-0.3,0,149.0,53.1,20.3,2.5,26.3,-1.25,1.3001,2.4147,45.2,3.0537,139.8,789,AMBIGUOUS
2018-10-25_thd,thd,-0.47,0,247.7,74.7,17.6,1.51,13.1,0.87,1.8488,1.0375,45.02,22.4535,146.3,624,AMBIGUOUS
2018-10-26_tha,tha,3.37,1,319.1,78.2,20.9,2.43,9.1,1.32,2.7831,9.2526,27.75,0.7191,138.2,500,AMBIGUOUS
2018-10-29_the,the,0.71,1,293.0,63.4,18.6,1.69,12.6,-1.61,1.2283,3.3016,45.0,1.5218,113.3,562,AMBIGUOUS
2018-10-30_the,the,1.43,1,297.3,86.0,19.3,1.91,12.0,0.28,1.3674,1.8801,70.62,5.9588,124.9,530,AMBIGUOUS
2018-10-31_the,the,-0.05,0,90.8,48.3,19.6,3.1,11.5,-3.54,2.4343,2.5936,85.68,3.7074,131.0,295,AMBIGUOUS
2018-11-01_tha,tha,0.16,1,274.7,55.8,22.7,3.95,15.9,2.5,0.8827,2.0923,48.38,1.0146,139.2,470,CONFIRMED_PDL
2018-11-01_thd,thd,-0.03,0,90.5,55.6,19.4,3.18,12.4,-2.98,1.4487,0.9225,91.84,12.5878,135.7,465,AMBIGUOUS
2018-11-02_thd,thd,-0.42,0,211.8,59.5,18.7,2.4,21.4,-1.35,4.8291,6.9685,45.39,3.4038,160.7,328,AMBIGUOUS
2018-11-02_the,the,-0.05,0,91.5,35.3,19.5,2.0,13.8,-2.93,1.8604,3.7856,47.61,2.4572,146.7,265,AMBIGUOUS
2018-11-03_thd,thd,0.47,1,277.7,74.4,19.4,2.27,11.1,-1.25,1.2596,1.8324,46.87,3.4865,147.8,532,AMBIGUOUS
2018-11-03_the,the,2.53,1,321.7,83.0,20.1,2.59,14.5,0.48,1.0912,1.9177,67.0,6.1524,166.9,464,AMBIGUOUS
2018-11-04_the,the,-4.55,0,173.0,61.5,20.8,3.05,10.1,-2.77,4.0157,7.7208,52.22,1.6129,167.8,449,AMBIGUOUS
2018-11-05_the,the,-0.27,0,120.4,29.2,21.0,1.86,15.4,-2.67,0.1983,3.1468,2.85,0.2922,473.4,150,AMBIGUOUS
2018-11-06_thd,thd,-0.62,0,106.2,53.3,20.1,1.52,12.5,-2.14,1.0563,1.7122,12.99,2.1367,309.5,465,AMBIGUOUS
2018-11-07_thd,thd,0.14,1,86.8,59.6,20.1,2.46,10.9,-2.58,0.2802,2.875,9.2,0.4878,331.5,234,AMBIGUOUS
2018-11-07_the,the,-2.24,0,145.3,37.0,20.8,2.22,10.2,-4.27,0.7508,2.6444,23.88,1.2072,300.1,486,AMBIGUOUS
2018-11-08_thd,thd,0.52,1,77.1,63.5,20.0,2.45,11.2,-2.22,0.2746,2.8743,9.0,0.477,332.0,235,AMBIGUOUS
2018-11-09_thd,thd,-2.19,0,144.8,87.2,20.4,1.96,14.0,-0.17,1.0595,2.337,17.13,0.7082,225.7,404,AMBIGUOUS
2018-11-09_the,the,-2.99,0,227.8,55.6,22.1,2.5,9.8,3.15,1.0575,2.4079,41.74,1.8653,157.5,503,AMBIGUOUS
2018-11-10_thd,thd,-0.83,0,254.0,54.9,20.9,2.16,10.0,3.01,0.902,2.0849,10.97,0.8753,364.5,360,AMBIGUOUS
2018-11-11_the,the,1.77,1,316.8,55.2,23.5,2.74,12.3,2.74,0.415,2.3979,8.88,0.6713,572.2,388,CONFIRMED_PDL
2018-11-12_thd,thd,-1.2,0,226.4,77.3,20.5,2.54,13.3,0.92,1.2577,1.5991,13.31,3.9406,519.8,539,AMBIGUOUS
2018-11-19_thd,thd,0.56,1,279.2,80.5,21.4,3.84,13.4,-0.84,1.2305,0.9435,92.34,8.092,138.4,462,AMBIGUOUS
2018-12-07_thd,thd,-0.75,0,261.5,55.4,28.3,6.58,9.2,5.1,0.9037,2.1054,71.78,2.339,215.4,438,AMBIGUOUS
2019-10-04_thd,thd,-0.33,0,125.1,22.4,27.9,2.52,22.0,-2.38,3.0333,2.1752,51.94,17.7361,198.0,566,AMBIGUOUS
2019-10-11_thd,thd,-0.96,0,120.1,48.4,25.0,1.6,12.8,-2.35,0.8374,2.6345,11.63,1.0407,307.8,623,AMBIGUOUS
2019-10-16_tha,tha,3.82,1,355.4,67.2,19.9,5.04,13.6,-2.3,1.6267,1.5292,98.02,5.8324,172.8,573,AMBIGUOUS
2019-10-18_thd,thd,-0.72,0,144.8,35.4,22.2,1.32,13.5,-2.51,1.231,2.0293,21.29,3.274,168.0,272,AMBIGUOUS
2019-10-22_thd,thd,0.31,1,302.9,63.1,13.9,1.83,28.5,0.8,0.6676,4.1707,32.65,1.2376,146.8,471,CONFIRMED_PDL
2019-10-24_thd,thd,-2.04,0,109.8,64.8,14.4,5.03,9.2,-3.67,2.1571,2.2578,42.95,3.3276,355.1,408,AMBIGUOUS
2019-10-24_the,the,-0.41,0,93.8,62.8,16.0,4.27,9.2,-3.57,0.9169,1.669,31.26,2.3512,442.6,379,AMBIGUOUS
2019-10-25_tha,tha,-1.92,0,109.7,66.1,18.9,3.79,9.3,-3.0,1.3274,1.8945,22.74,1.0528,327.6,643,AMBIGUOUS
2019-10-25_the,the,-1.23,0,102.2,64.5,18.6,3.9,9.3,-3.24,0.9423,1.8422,31.01,2.3601,446.3,401,AMBIGUOUS
2019-10-26_tha,tha,-1.03,0,105.6,86.8,19.0,3.71,12.6,-0.29,0.9994,3.0477,17.31,1.0233,400.6,562,AMBIGUOUS
2019-10-27_thd,thd,0.03,1,89.3,84.9,14.7,1.46,11.9,0.32,0.6106,2.9747,5.9,0.4074,392.9,440,CONFIRMED_PDL
2019-10-29_the,the,1.36,1,356.4,62.2,17.0,2.79,9.3,-2.75,0.8023,1.6457,46.96,1.842,217.1,357,CONFIRMED_PDL
2019-10-30_tha,tha,-2.44,0,253.1,68.0,20.5,6.74,9.1,-3.68,1.3744,1.6598,17.89,0.1876,175.9,269,AMBIGUOUS
2019-10-30_thd,thd,0.39,1,271.9,70.0,14.8,1.82,3.8,-4.25,0.7562,1.4063,17.66,0.1172,60.4,400,CONFIRMED_PDL
2019-10-30_the,the,1.08,1,277.1,84.2,17.5,8.05,9.5,1.07,8.7884,1.0434,203.54,3.0367,172.8,291,AMBIGUOUS
2019-10-31_the,the,3.0,1,292.8,80.2,16.6,8.68,9.5,1.81,8.5105,1.018,196.05,2.6113,171.1,282,AMBIGUOUS
2019-11-01_the,the,1.32,1,54.3,36.6,16.8,2.06,11.9,3.33,0.9842,2.3871,37.84,2.1855,220.5,471,AMBIGUOUS
2019-11-02_thd,thd,1.44,1,309.9,53.0,15.0,0.91,12.1,1.69,0.4171,3.1737,9.72,0.3621,137.6,447,CONFIRMED_PDL
2019-11-03_tha,tha,2.4,1,337.6,74.2,20.5,1.63,15.3,0.78,0.7969,3.344,23.27,0.5149,123.5,834,CONFIRMED_PDL
2019-11-03_thd,thd,1.48,1,307.8,78.3,15.7,1.89,18.1,-0.54,0.7156,4.3897,31.06,0.786,122.3,478,CONFIRMED_PDL
2019-11-03_the,the,1.33,1,312.3,67.2,17.8,1.81,17.3,1.06,0.855,2.8512,42.01,1.4914,115.2,543,CONFIRMED_PDL
2019-11-04_thd,thd,-0.9,0,188.2,76.9,15.9,1.82,15.4,-0.72,0.8313,1.8162,20.45,3.4394,289.4,138,AMBIGUOUS
2019-11-04_the,the,-0.9,0,188.2,76.9,17.6,1.82,15.4,-0.72,1.4575,1.1857,43.0,8.9007,172.7,153,AMBIGUOUS
2019-11-05_tha,tha,-1.63,0,122.5,87.2,21.3,1.6,8.6,0.25,1.0916,1.1093,23.99,4.234,206.8,1004,AMBIGUOUS
2019-11-05_thd,thd,-0.62,0,205.8,78.8,15.4,1.83,16.1,-0.57,0.871,1.7544,21.1,3.3285,266.7,160,AMBIGUOUS
2019-11-05_the,the,-0.88,0,192.6,77.4,17.6,1.83,15.8,-0.67,1.4279,1.2764,42.85,8.7673,172.7,154,AMBIGUOUS
2019-11-06_tha,tha,-0.53,0,104.7,49.5,21.4,1.56,12.6,-2.24,1.0605,1.6452,18.81,2.9636,179.2,896,AMBIGUOUS
2019-11-06_thd,thd,-0.54,0,134.0,23.9,15.9,1.31,15.9,-2.34,1.2052,3.5446,15.45,2.0165,236.7,132,AMBIGUOUS
2019-11-06_the,the,0.62,1,64.3,39.8,17.5,1.53,12.8,-2.59,0.9238,3.0705,23.31,1.1435,196.2,234,AMBIGUOUS
2019-11-07_thd,thd,-0.81,0,108.9,87.6,16.0,0.94,12.5,-0.11,0.2479,8.1597,3.89,0.2526,226.8,507,AMBIGUOUS
2019-11-08_the,the,-1.78,0,131.0,52.8,18.4,1.36,11.9,-2.28,0.6541,2.6934,29.15,1.5954,143.9,530,AMBIGUOUS
2019-11-09_the,the,-1.35,0,122.9,72.6,18.2,1.35,11.8,0.99,0.8069,1.9468,25.49,2.3224,163.3,431,AMBIGUOUS
2019-11-10_the,the,-1.31,0,122.1,66.0,18.2,1.33,12.1,1.34,0.8083,1.9347,25.88,2.5355,159.1,468,AMBIGUOUS
2019-11-23_tha,tha,-0.87,0,101.2,50.5,21.6,1.64,7.3,-3.8,1.6157,1.6783,18.7,0.9835,191.8,279,AMBIGUOUS
2019-11-24_tha,tha,-1.88,0,114.0,58.6,21.4,1.56,7.8,2.94,0.0878,2.1643,1.05,0.0561,363.3,406,BOUNDARY_LAYER
2019-11-27_tha,tha,-0.38,0,97.1,56.0,21.8,1.49,9.5,-2.57,0.4472,3.0673,8.83,0.2056,149.1,928,AMBIGUOUS
2019-11-28_tha,tha,1.15,1,296.7,54.1,21.6,2.13,11.4,2.57,1.4668,1.4493,58.21,4.0567,123.2,846,AMBIGUOUS
2019-11-28_thd,thd,0.53,1,81.8,79.3,17.6,2.03,10.5,-0.86,1.5486,1.722,49.9,2.7921,149.5,508,AMBIGUOUS
