eid,probe,bz,bz_sign,clock,cone,sza,dp,ma,bx,Dn_mem,EB_mem,n_near,beta_near,T_near,n_mem,cls
2008-09-08_thc,thc,-0.43,0,252.9,46.3,5.6,1.69,14.4,2.19,0.172,4.8167,1.68,0.0674,387.9,237,BOUNDARY_LAYER
2008-09-09_thb,thb,0.4,1,285.0,49.4,8.4,1.64,14.9,1.97,0.197,4.4887,1.99,0.0951,320.2,328,BOUNDARY_LAYER
2008-09-09_thc,thc,0.4,1,285.0,49.4,8.1,1.64,14.9,1.97,0.2729,4.9063,2.38,0.0806,388.3,251,BOUNDARY_LAYER
2008-09-10_thc,thc,0.3,1,277.3,58.1,4.8,0.8,9.7,-1.69,0.2462,3.3697,2.67,0.1647,231.8,69,AMBIGUOUS
2008-09-12_thb,thb,0.84,1,320.2,49.5,7.5,0.61,15.4,1.13,0.6956,4.1482,7.15,0.3866,107.9,110,CONFIRMED_PDL
2008-09-14_thc,thc,-0.93,0,102.4,54.4,3.2,6.74,11.2,-4.63,0.5874,2.1526,46.82,0.8067,215.4,153,AMBIGUOUS
2008-09-14_the,the,-0.62,0,98.7,52.4,8.1,6.81,11.6,-4.63,0.2758,4.7602,19.71,0.1567,147.3,80,AMBIGUOUS
2008-09-15_thc,thc,-0.39,0,95.8,47.5,5.6,6.58,11.8,-4.89,0.7202,2.0318,52.31,1.2047,208.7,212,AMBIGUOUS
2008-09-16_thb,thb,-1.26,0,118.2,65.6,9.6,1.06,12.2,-1.24,0.3729,3.9375,3.13,0.3796,465.8,69,AMBIGUOUS
2008-09-16_thc,thc,-1.24,0,117.9,66.3,2.4,1.06,12.3,-1.2,0.1283,4.2097,1.16,0.1146,564.9,115,AMBIGUOUS
2008-09-17_thb,thb,-1.31,0,118.5,63.9,9.9,1.04,11.8,-1.35,0.4356,3.4344,3.69,0.5194,428.6,96,AMBIGUOUS
2008-09-18_thc,thc,-0.99,0,146.1,77.8,1.6,1.42,16.4,0.54,0.7085,2.0575,18.69,3.8093,275.8,110,AMBIGUOUS
2008-09-20_thb,thb,0.74,1,309.4,43.0,11.6,1.5,11.4,2.72,0.5475,3.3108,10.72,0.4993,174.8,19,CONFIRMED_PDL
2008-09-20_thc,thc,0.91,1,311.7,44.4,0.8,1.5,11.3,2.67,1.048,1.8794,39.79,1.7194,127.4,547,AMBIGUOUS
2008-09-21_thb,thb,0.73,1,323.3,38.7,11.7,1.5,11.4,2.91,0.5475,3.3108,10.72,0.4993,174.8,19,CONFIRMED_PDL
2008-09-24_thb,thb,1.42,1,298.5,85.9,14.2,1.26,11.8,0.24,0.5921,2.961,20.97,0.4057,96.2,267,CONFIRMED_PDL
2008-09-25_thb,thb,1.42,1,298.5,85.9,14.2,1.26,11.8,0.24,0.5862,2.9563,20.98,0.4064,96.0,266,CONFIRMED_PDL
2008-09-28_thb,thb,3.5,1,339.2,53.1,16.3,1.63,9.1,2.99,0.6211,2.519,15.8,0.4703,150.1,260,CONFIRMED_PDL
2008-09-29_thb,thb,3.59,1,339.5,53.5,16.2,1.61,8.9,2.99,0.7131,2.216,17.79,0.6172,149.0,282,CONFIRMED_PDL
2008-09-30_thc,thc,0.1,1,271.6,37.7,7.0,3.11,8.5,5.79,1.161,0.8608,36.38,8.2441,316.2,452,AMBIGUOUS
2009-06-23_thb,thb,0.53,1,285.2,78.3,15.2,2.59,25.7,0.45,0.7012,3.757,51.4,1.7214,103.2,395,CONFIRMED_PDL
2009-07-17_thb,thb,0.33,1,76.6,72.2,11.3,0.68,17.9,-0.5,0.5168,4.7572,7.3,0.427,149.1,220,CONFIRMED_PDL
2009-07-21_thb,thb,1.24,1,80.0,88.9,10.8,2.21,7.2,0.14,0.928,1.6522,25.88,0.269,85.2,96,AMBIGUOUS
2009-07-23_thc,thc,0.63,1,279.7,63.6,13.9,2.9,11.4,2.41,0.1917,2.745,3.45,0.0872,366.0,424,BOUNDARY_LAYER
2009-07-25_thb,thb,1.14,1,11.9,22.2,10.6,1.08,9.4,3.62,0.2792,3.147,2.55,0.0864,282.0,384,BOUNDARY_LAYER
2009-07-30_thc,thc,0.81,1,295.7,49.2,16.1,0.81,11.0,1.73,0.9942,2.3285,14.05,1.1666,170.0,516,AMBIGUOUS
2009-08-05_thc,thc,7.26,1,19.1,72.2,12.4,2.67,7.0,2.5,0.6413,2.0302,24.13,0.2519,131.4,425,CONFIRMED_PDL
2009-08-07_thc,thc,0.82,1,281.7,59.5,12.5,1.97,8.4,2.94,1.1172,1.6123,22.18,2.885,244.3,427,AMBIGUOUS
2009-08-08_thc,thc,0.93,1,282.7,62.4,12.5,2.0,8.7,2.62,1.266,1.5664,25.14,3.6109,261.5,67,AMBIGUOUS
2009-08-30_tha,tha,2.83,1,317.2,67.4,18.5,3.77,13.6,2.13,1.055,1.5331,56.33,3.136,183.0,631,AMBIGUOUS
2009-09-03_tha,tha,-0.38,0,101.7,70.6,15.8,3.6,12.8,-1.7,0.1564,4.0575,6.76,0.0901,146.0,71,BOUNDARY_LAYER
2009-09-13_tha,tha,-0.05,0,269.2,70.0,12.3,2.09,8.3,2.17,1.1477,1.9977,31.34,0.8073,131.2,631,AMBIGUOUS
2009-09-13_thd,thd,-4.51,0,199.1,65.7,6.8,3.87,11.7,2.68,1.2187,2.803,60.17,2.7454,217.9,58,AMBIGUOUS
2009-09-13_the,the,-4.52,0,205.6,62.7,7.2,4.03,11.4,3.06,0.7669,1.9667,86.56,2.2881,139.9,381,AMBIGUOUS
2009-09-14_tha,tha,0.12,1,271.9,67.8,12.2,2.05,8.4,2.29,1.212,1.855,31.72,0.8306,128.0,689,AMBIGUOUS
2009-09-15_tha,tha,-0.47,0,257.0,59.3,11.8,1.79,10.4,2.29,0.9572,1.4773,17.55,2.1296,259.7,836,AMBIGUOUS
2009-09-16_tha,tha,1.01,1,290.4,64.5,11.2,1.59,9.6,2.02,1.5981,0.832,13.35,1.6257,244.1,917,AMBIGUOUS
2009-09-17_tha,tha,2.53,1,317.5,72.3,10.3,1.89,11.2,1.34,1.0445,1.3746,16.86,1.6524,240.4,448,AMBIGUOUS
2009-09-25_thc,thc,2.98,1,323.2,69.7,6.0,0.96,7.9,-1.49,0.9686,1.5204,30.63,2.1369,99.5,419,AMBIGUOUS
2009-10-01_thc,thc,-0.86,0,239.0,48.0,1.2,0.58,8.4,2.16,0.107,2.4991,1.38,0.1206,253.9,82,AMBIGUOUS
2009-10-02_thc,thc,-1.05,0,226.3,46.8,0.4,0.55,8.4,2.17,0.0966,2.5221,1.21,0.1237,278.8,95,AMBIGUOUS
2009-10-05_thc,thc,-0.24,0,251.8,35.8,1.9,0.87,14.5,1.84,0.0834,4.2908,1.07,0.1579,356.3,124,AMBIGUOUS
2009-10-12_thb,thb,1.63,1,309.6,70.3,18.5,1.1,9.2,1.37,0.2569,2.7588,3.64,0.1801,260.2,431,AMBIGUOUS
2009-10-13_thc,thc,0.5,1,298.3,62.3,3.1,1.32,11.9,1.53,0.7315,2.8071,16.18,0.4723,130.6,329,CONFIRMED_PDL
2009-10-20_thc,thc,0.07,1,272.4,66.1,11.6,0.69,12.3,0.96,1.0247,2.2025,23.17,2.3907,96.5,373,AMBIGUOUS
2009-10-22_tha,tha,-4.05,0,120.7,81.1,5.9,3.25,7.4,-1.38,1.0453,1.873,44.79,0.4429,93.6,654,AMBIGUOUS
2009-10-23_tha,tha,-1.76,0,218.9,67.7,6.5,2.42,8.8,2.31,1.9979,6.7808,30.51,1.5642,257.3,40,AMBIGUOUS
2009-11-11_thc,thc,-0.25,0,99.0,45.1,29.7,1.0,13.2,1.76,0.8144,1.9072,25.49,2.2066,104.6,272,AMBIGUOUS
2009-11-13_tha,tha,2.77,1,3.1,74.7,23.3,3.13,10.8,1.51,0.9883,1.9047,75.46,2.6224,110.5,733,AMBIGUOUS
2009-12-01_thb,thb,-0.13,0,115.7,22.4,22.1,1.06,17.9,-1.9,2.2345,0.9681,53.8,23.9649,81.4,374,AMBIGUOUS
2009-12-02_thb,thb,-0.15,0,139.1,38.0,14.0,1.28,17.5,-1.82,1.9926,1.8676,55.41,6.5582,89.5,171,AMBIGUOUS
2010-10-11_tha,tha,-8.87,0,211.6,67.4,5.4,4.05,6.7,-4.26,0.5544,1.9835,32.72,0.1686,79.0,632,AMBIGUOUS
2010-10-11_thd,thd,-9.86,0,208.5,67.9,7.2,3.82,6.4,-4.35,0.5844,1.9584,35.17,0.1689,81.1,611,AMBIGUOUS
2010-10-11_the,the,-8.87,0,211.8,67.5,6.8,4.04,6.7,-4.26,0.7081,1.8928,44.72,0.3661,100.6,702,AMBIGUOUS
2010-10-23_tha,tha,2.24,1,317.8,53.6,11.3,3.57,9.3,4.3,1.3104,1.2275,19.49,4.6112,588.6,758,AMBIGUOUS
