eid,probe,stage,bz,cls
2007-09-17_thd,thd,no_sheath,1.11,
2007-09-18_tha,tha,no_sheath,-0.6,
2007-09-18_thc,thc,no_sheath,1.34,
2007-09-18_thd,thd,no_sheath,-0.5,
2007-09-18_the,the,no_sheath,-0.17,
2007-09-19_tha,tha,no_sheath,3.88,
2007-09-19_thd,thd,no_sheath,3.82,
2007-09-19_the,the,no_sheath,3.64,
2007-09-20_thb,thb,no_sheath,5.0,
2007-09-20_thc,thc,no_sheath,-0.5,
2007-09-20_the,the,no_sheath,-0.5,
2007-09-21_tha,tha,no_sheath,0.85,
2007-09-21_thb,thb,no_sheath,2.14,
2007-09-21_thc,thc,no_sheath,-0.52,
2007-09-21_thd,thd,no_sheath,0.66,
2007-09-21_the,the,no_sheath,0.02,
2007-09-22_tha,tha,no_sheath,1.48,
2007-09-22_thc,thc,no_sheath,1.48,
2007-09-22_thd,thd,no_sheath,1.48,
2007-09-22_the,the,no_sheath,1.4,
2007-09-23_tha,tha,no_sheath,0.96,
2007-09-23_thb,thb,no_sheath,-0.05,
2007-09-23_thc,thc,no_sheath,1.49,
2007-09-23_thd,thd,no_sheath,0.92,
2007-09-23_the,the,no_sheath,1.13,
2007-09-25_the,the,no_sheath,0.71,
2007-09-26_tha,tha,no_sheath,0.48,
2007-09-26_thc,thc,no_sheath,1.36,
2007-09-26_thd,thd,no_sheath,0.65,
2007-09-26_the,the,no_sheath,0.59,
2007-09-27_tha,tha,no_sheath,-0.43,
2007-09-27_thb,thb,no_sheath,2.75,
2007-09-29_thb,thb,no_sheath,-0.94,
2007-09-29_thd,thd,no_sheath,-2.51,
2007-09-30_tha,tha,no_sheath,-0.8,
2007-09-30_thd,thd,no_sheath,-0.8,
2007-10-02_thb,thb,no_sheath,-1.35,
2007-10-04_thb,thb,no_sheath,0.29,
2007-10-07_thc,thc,no_sheath,-0.36,
2008-06-12_thb,thb,no_bg,-0.88,
2008-06-12_thc,thc,no_bg,0.59,
2008-06-14_thc,thc,contrib,2.65,AMBIGUOUS
2008-06-16_thb,thb,no_bg,1.01,
2008-06-16_thc,thc,no_bg,0.46,
2008-06-18_thc,thc,no_bg,0.92,
2008-06-20_thb,thb,no_bg,0.25,
2008-06-20_thc,thc,no_sheath,0.55,
2008-06-22_thc,thc,no_sheath,0.51,
2008-06-24_thb,thb,no_bg,-0.36,
2008-06-24_thc,thc,no_sheath,-0.44,
2008-06-26_thc,thc,no_bg,1.77,
2008-06-28_thb,thb,contrib,0.11,AMBIGUOUS
2008-06-28_thc,thc,no_bg,-0.55,
2008-06-30_thc,thc,no_bg,-0.06,
2008-07-02_thb,thb,no_shell,0.53,
2008-07-02_thc,thc,no_bg,0.47,
2008-07-04_thc,thc,no_bg,0.75,
2008-07-06_thc,thc,no_bg,0.38,
2008-07-06_thd,thd,no_sheath,-0.94,
2008-07-06_the,the,no_sheath,-0.96,
2008-07-07_thd,thd,no_sheath,0.78,
2008-07-07_the,the,no_sheath,0.92,
2008-07-08_thc,thc,no_bg,0.01,
2008-07-08_thd,thd,no_sheath,-0.18,
2008-07-08_the,the,no_sheath,0.02,
2008-07-09_thd,thd,no_sheath,0.81,
2008-07-09_the,the,no_sheath,0.68,
2008-07-10_thb,thb,no_sheath,2.22,
2008-07-10_thc,thc,contrib,1.57,AMBIGUOUS
2008-07-10_thd,thd,no_sheath,1.03,
2008-07-10_the,the,no_sheath,0.04,
2008-07-11_tha,tha,no_sheath,-2.37,
2008-07-11_thd,thd,no_sheath,2.11,
2008-07-11_the,the,no_sheath,4.86,
2008-07-12_tha,tha,no_sheath,-2.4,
2008-07-12_thc,thc,contrib,-1.96,AMBIGUOUS
2008-07-12_thd,thd,no_sheath,0.72,
2008-07-12_the,the,no_sheath,0.74,
2008-07-13_tha,tha,no_sheath,0.58,
2008-07-13_thd,thd,no_sheath,0.54,
2008-07-13_the,the,no_sheath,-0.69,
2008-07-14_tha,tha,no_sheath,-0.02,
2008-07-14_thb,thb,no_sheath,-0.15,
2008-07-14_thc,thc,contrib,-0.7,AMBIGUOUS
2008-07-14_thd,thd,no_sheath,-0.06,
2008-07-14_the,the,no_sheath,0.48,
2008-07-15_tha,tha,no_sheath,0.07,
2008-07-15_thd,thd,no_sheath,1.02,
2008-07-15_the,the,no_sheath,0.72,
2008-07-16_tha,tha,no_sheath,-1.41,
2008-07-16_thc,thc,contrib,0.86,BOUNDARY_LAYER
2008-07-16_thd,thd,no_sheath,1.12,
2008-07-16_the,the,no_sheath,0.07,
2008-07-17_tha,tha,no_sheath,-0.06,
2008-07-17_thb,thb,no_shell,0.38,
2008-07-17_thd,thd,no_sheath,0.24,
2008-07-17_the,the,no_sheath,0.09,
2008-07-18_tha,tha,no_sheath,0.17,
2008-07-18_thb,thb,no_sheath,-0.99,
2008-07-18_thc,thc,contrib,-1.47,AMBIGUOUS
2008-07-18_thd,thd,no_sheath,0.1,
2008-07-18_the,the,no_sheath,0.39,
