eid,grp,north,n_sw,v_sw,ratio_bg,ratio_near,ratio_v
2009-10-23_tha,NONCAND,False,8.074999809265137,380.84999084472656,1.8909635488542857,3.7783282626203003,0.8839209780208928
2009-11-11_thc,NONCAND,False,6.340000152587891,279.3999938964844,4.937483340784227,4.0205046350977405,0.383861061349836
2009-11-13_tha,NONCAND,True,17.200000762939453,303.8999938964844,4.439609241946498,4.387209107722388,0.35133346203805005
2009-12-01_thb,NONCAND,False,7.800000190734863,262.0,3.087077921180776,6.897435728771607,0.31001785511278923
2009-12-02_thb,NONCAND,False,9.125,267.79998779296875,3.0475164962141483,6.072328767123287,0.272626112928719
2010-10-11_tha,NONCAND,False,16.905000686645508,351.5500030517578,3.4915407032469155,1.93552195628409,0.2023767251101504
2010-10-11_thd,NONCAND,False,15.684999942779541,352.6000061035156,3.8373656043508952,2.242269692591884,0.20085265730984697
2010-10-11_the,NONCAND,False,16.260000228881836,351.6000061035156,3.884036020032087,2.750307464360675,0.20085613262265684
2010-10-23_tha,NONCAND,True,4.320000171661377,638.4000244140625,3.442273510913224,4.511573894800234,0.23601668514101856
2010-10-23_thd,NONCAND,True,4.369999885559082,640.3500061035156,3.487169042814304,4.544622544643198,0.24693720947001402
2010-10-23_the,NONCAND,True,4.315000057220459,637.5999755859375,3.637912520771148,4.797218939861166,0.23873018965890574
2011-11-22_tha,A,True,13.40999984741211,352.25,4.527520438215132,3.325876249626282,0.28906200184223074
2011-11-22_thd,NONCAND,True,13.369999885559082,352.20001220703125,4.705593032428279,4.073298464184893,0.22408205736299366
2011-11-22_the,NONCAND,False,12.789999961853027,352.1000061035156,5.024368802188783,4.45582487646413,0.24145311729557925
2012-12-30_tha,NONCAND,True,13.585000038146973,353.3999938964844,3.628179478908424,0.7081339693034105,0.33907618349959256
2013-01-19_tha,NONCAND,False,9.760000228881836,426.5,3.1905478370256617,3.7049179459028254,0.23485106348572135
2013-01-26_tha,NONCAND,False,6.619999885559082,495.29998779296875,4.10350074831742,4.747734221047592,0.2961916489166044
2013-01-26_thd,A,True,10.720000267028809,441.29998779296875,5.759772648318815,4.222947656002922,0.16028367725139583
2013-01-26_the,NONCAND,False,9.349999904632568,487.9499969482422,5.853661173587546,4.699465288574966,0.1815461933222135
2014-02-16_tha,NONCAND,True,27.639999389648438,409.5,2.3624020448102727,4.333936419870654,0.16784129532847794
2014-02-19_the,NONCAND,True,10.25,505.5,2.515135788336033,8.23219512195122,0.19588237275709383
2014-02-27_the,NONCAND,False,14.704999923706055,453.5500030517578,4.563715237581967,8.592995624317819,0.2453307029206476
2014-02-28_tha,NONCAND,True,7.829999923706055,461.6000061035156,3.8276537541030526,0.8084291266511172,0.16835498421925213
2014-03-25_thd,NONCAND,False,10.119999885559082,481.4499969482422,1.8620291456821405,3.5563241508882415,0.10633140866688448
2014-03-26_the,NONCAND,True,7.429999828338623,469.79998779296875,5.290187891172537,1.5047106673352226,0.24351993509850267
2015-03-16_tha,NONCAND,True,23.479999542236328,411.9499969482422,3.028044849013207,3.157155087105234,0.48832573912711724
2015-03-17_tha,NONCAND,False,15.770000457763672,571.0,1.858620114944058,6.06911840341015,0.2722527392065045
2015-03-17_the,NONCAND,False,7.985000133514404,558.0499877929688,4.7557622201537715,4.586098858821508,0.26446898537923336
2015-04-14_the,NONCAND,False,39.864999771118164,328.0,0.9375209711464297,8.989589917410106,0.884844942790706
2015-04-15_tha,NONCAND,False,8.5,588.0,0.9199739904964671,4.890588235294118,0.9549659158096833
2015-04-15_thd,NONCAND,False,8.345000267028809,595.8999938964844,3.442396644620734,4.657878820396904,0.22654843934517338
2015-04-15_the,NONCAND,False,8.420000076293945,595.5,4.75031741950683,7.162707773578238,0.2677300210563602
2015-04-16_tha,NONCAND,False,5.909999847412109,601.5999755859375,3.6225335980599906,2.795262339513229,0.2410274461392117
2015-04-16_thd,NONCAND,False,6.210000038146973,629.5999755859375,2.9159736147036,4.409017686281694,0.25732112898369286
2015-04-16_the,NONCAND,False,6.129999876022339,605.6499938964844,4.6916036947957425,5.670473197881241,0.2634458238534342
2015-04-20_thd,NONCAND,True,22.6299991607666,416.29998779296875,3.2993990460896527,4.087052736632398,0.237345999118267
2015-04-20_the,NONCAND,True,22.809999465942383,411.70001220703125,3.8913652460667936,7.162648129121735,0.25838827534993664
2015-04-21_tha,NONCAND,True,4.829999923706055,564.8999938964844,2.703456644938161,3.1594203397607954,0.2090409960367125
2015-05-01_tha,NONCAND,True,6.489999771118164,434.29998779296875,3.504447590377911,3.526964685247789,0.2095349234797882
2015-05-01_thd,NONCAND,True,6.320000171661377,427.6000061035156,3.7885335907247932,3.558544207141677,0.28488219437084866
2015-05-01_the,NONCAND,True,6.429999828338623,432.20001220703125,4.942660218957993,4.777605104219327,0.24551881646593463
2015-05-07_thd,NONCAND,True,7.569999933242798,401.1999969482422,1.071859517850859,1.877146647993799,0.16142745440305256
2015-05-29_tha,REJ,True,9.449999809265137,362.0,5.037098335328649,2.664550318330438,0.15227453748165573
2015-05-29_thd,A,True,9.65999984741211,363.0,4.6451213930674395,2.330227780079145,0.13816254460778776
2015-05-29_the,NONCAND,True,9.609999656677246,361.29998779296875,6.131874406744592,1.7960458498047251,0.1554430801114749
2015-06-08_tha,NONCAND,False,17.739999771118164,467.9499969482422,1.3510511759707615,0.8399098191792617,0.19656478499715546
2015-06-08_thd,NONCAND,False,18.18000030517578,468.6000061035156,1.511027160728007,2.4257425335380707,0.19018234838817238
2015-06-08_the,NONCAND,False,17.69499969482422,467.8999938964844,1.9810120988100386,2.523311713481414,0.19195315568002316
2015-06-23_tha,NONCAND,False,3.4450000524520874,708.5,7.729816734319524,2.3686501816427734,0.23250049491456973
2015-07-11_tha,NONCAND,False,19.829999923706055,511.70001220703125,2.664579035266328,3.719112470183851,0.31806561857644355
2015-07-11_thd,NONCAND,False,20.190000534057617,512.2000122070312,2.8312819338001725,3.4774639991497702,0.36561764728663465
2015-07-11_the,NONCAND,False,20.230000495910645,513.0999755859375,3.9693532546763395,4.603558957837178,0.3781418356701794
2016-05-27_tha,NONCAND,False,19.899999618530273,357.1000061035156,2.2923754647485066,3.751758865888564,0.2338765963508976
2016-06-10_tha,NONCAND,False,11.0,376.5500030517578,2.9513813365589487,1.3127272727272727,0.367053602214901
2016-06-11_tha,BORD,True,10.390000343322754,405.20001220703125,2.9333422061450953,1.6275264139781664,0.4395053802669369
2016-06-12_tha,A,True,7.159999847412109,466.79998779296875,3.207912193765314,2.5600559204795434,0.3024350909793881
2016-06-15_tha,NONCAND,True,5.909999847412109,622.5999755859375,1.1996397015112268,3.558375726390025,0.6595833139718752
2016-06-19_tha,A,True,2.4700000286102295,597.9000244140625,2.9810689858841726,1.4898785252527262,0.23912703499001733
2016-06-22_tha,NONCAND,False,10.949999809265137,347.3999938964844,3.459609975938666,5.180822008051449,0.28836353481406546
2016-06-23_tha,NONCAND,True,7.740000009536743,350.34999084472656,3.4190434159923973,3.7015503830360803,0.2920216108185971
2016-06-24_tha,NONCAND,False,3.9800000190734863,520.7999877929688,3.10253855881361,3.3165828986786936,0.19287522939456944
2016-06-24_thd,NONCAND,False,6.659999847412109,509.5,0.821944526224326,0.6621621773330225,0.7919139918214089
2016-06-25_tha,NONCAND,False,4.829999923706055,449.0,3.7111346118229553,2.3995859592285465,0.3028466919217184
2016-06-26_tha,NONCAND,False,4.650000095367432,484.6000061035156,3.236555012599268,3.4322579941235207,0.23267374914614072
2016-06-27_tha,NONCAND,False,4.460000038146973,486.75,3.237900898699047,3.7466367392549667,0.26879199419379174
2016-06-28_tha,NONCAND,True,3.559999942779541,468.79998779296875,2.919564936984495,3.556179832439956,0.2912406216055866
2016-06-29_tha,NONCAND,True,4.75,382.70001220703125,5.539846119127776,1.0821052631578947,0.22647400415970445
2016-07-01_thd,NONCAND,False,10.635000228881836,393.1000061035156,0.7025269050933112,0.7682181310925081,0.8543352777064631
2016-07-03_the,A,True,7.480000019073486,446.3999938964844,5.056225156895681,4.090909080477554,0.29239019157915824
2016-07-16_tha,NONCAND,True,2.759999990463257,531.6000061035156,3.5764694337446428,0.15942029040592404,0.24733276886913144
2016-07-17_tha,NONCAND,True,4.315000057220459,438.8999938964844,4.4555318690215096,0.8458864314247949,0.2634859501977315
2016-07-18_tha,NONCAND,True,4.440000057220459,437.3999938964844,4.423416785204731,0.7590089992272876,0.2756206113102165
