eid,probe,status,n_near_spec,n_bg_spec,E_peak_near,E_peak_bg,peak_ratio,shape_corr,flux_ratio,note
2023-04-12_thd,thd,SHEATH_CONSISTENT,719,552,170.9,170.9,1.0,0.92,0.704,
2023-04-11_thd,thd,SHEATH_CONSISTENT,617,2089,296.1,296.1,1.0,0.902,0.424,
2007-08-22_thb,thb,AMBIGUOUS_SPEC,794,2117,194.4,767.8,0.253,0.857,0.229,
2024-04-18_thd,thd,SHEATH_CONSISTENT,642,1236,170.9,170.9,1.0,0.978,0.661,
2016-07-27_the,the,SHEATH_CONSISTENT,586,165,295.3,170.5,1.732,0.956,0.735,
2023-04-14_the,the,SHEATH_CONSISTENT,589,539,170.5,170.5,1.0,0.964,0.531,
2015-05-29_tha,tha,HOT_BOUNDARY_FLAG,866,519,453.6,175.3,2.588,0.986,0.348,
2021-01-12_the,the,SHEATH_CONSISTENT,618,1544,295.3,295.3,1.0,0.969,0.577,
2018-09-26_the,the,AMBIGUOUS_SPEC,616,369,441.2,441.2,1.0,0.649,0.78,
2019-11-03_the,the,SHEATH_CONSISTENT,543,719,170.5,170.5,1.0,0.967,0.773,
2007-08-27_thd,thd,SHEATH_CONSISTENT,568,187,442.4,442.4,1.0,0.981,0.298,
2007-08-27_the,the,SHEATH_CONSISTENT,529,332,441.2,441.2,1.0,0.991,0.389,
2022-01-27_thd,thd,AMBIGUOUS_SPEC,551,2916,296.1,767.8,0.386,0.856,0.639,
2023-05-10_tha,tha,SHEATH_CONSISTENT,519,668,597.5,597.5,1.0,0.996,0.492,
2019-12-02_the,the,SHEATH_CONSISTENT,572,2631,193.9,193.9,1.0,0.954,0.707,
2025-05-17_tha,tha,SHEATH_CONSISTENT,520,836,453.6,597.5,0.759,0.946,0.318,
2020-12-17_the,the,AMBIGUOUS_SPEC,592,1278,98.6,295.3,0.334,0.924,0.607,
2008-08-28_thc,thc,SHEATH_CONSISTENT,530,1804,100.1,173.0,0.578,0.885,0.639,
2016-08-03_tha,tha,SHEATH_CONSISTENT,516,1782,151.2,199.3,0.759,0.976,0.846,
2020-12-17_thd,thd,SHEATH_CONSISTENT,685,2262,170.9,98.9,1.729,0.921,0.355,
2018-08-31_thd,thd,SHEATH_CONSISTENT,597,1893,296.1,296.1,1.0,0.839,0.509,
2023-03-02_the,the,SHEATH_CONSISTENT,503,393,441.2,581.2,0.759,0.99,0.516,
2019-11-03_thd,thd,SHEATH_CONSISTENT,555,2340,170.9,170.9,1.0,0.987,0.481,
2019-10-22_thd,thd,SHEATH_CONSISTENT,581,245,170.9,296.1,0.577,0.992,0.475,
2018-11-01_tha,tha,SHEATH_CONSISTENT,652,1475,303.6,175.3,1.732,0.936,0.688,
2025-07-14_thd,thd,SHEATH_CONSISTENT,607,1036,582.8,582.8,1.0,0.892,0.481,
2019-11-02_thd,thd,SHEATH_CONSISTENT,782,137,296.1,296.1,1.0,0.885,0.145,
2024-04-18_the,the,SHEATH_CONSISTENT,497,1203,170.5,170.5,1.0,0.98,0.437,
2019-10-27_thd,thd,SHEATH_CONSISTENT,630,50,442.4,582.8,0.759,0.841,0.309,
2008-08-28_thb,thb,SHEATH_CONSISTENT,433,1328,98.9,98.9,1.0,0.923,0.952,
2019-12-05_the,the,AMBIGUOUS_SPEC,516,1209,193.9,765.7,0.253,0.871,0.42,
2009-08-05_thc,thc,SHEATH_CONSISTENT,425,1367,196.7,196.7,1.0,0.976,0.46,
2007-08-26_the,the,AMBIGUOUS_SPEC,506,2033,581.2,765.7,0.759,0.74,0.548,
2008-09-07_thc,thc,SHEATH_CONSISTENT,448,1486,777.0,1345.5,0.577,0.924,0.89,
2019-10-30_thd,thd,SHEATH_CONSISTENT,568,1647,170.9,170.9,1.0,0.976,0.472,
