eid,grp,north,dp,cone,shear,bz,ma,sza,mp0,bs0,thick,n_bg,b_bg,t_bg,v_bg,dn,eb,beta_near,t_near,n_near,r_nb,peak,shape,flux
2007-08-13_thd,NONCAND,True,1.07,44.2,82.39999999999998,0.12,15.5,15.6,11.285276035253878,14.427479713852271,3.142203678598394,14.502357482910156,8.769166946411133,148.19236900014337,52.24643516540527,0.0568,4.9269,0.0603,360.4,0.82,-0.895,nan,nan,nan
2007-08-15_tha,NONCAND,False,2.11,75.0,99.60000000000002,-0.53,11.4,15.5,10.110658494034217,12.955273127260625,2.844614633226408,21.307159423828125,11.835912704467773,187.92597770087562,101.7922248840332,0.0668,4.9721,0.0654,438.1,1.42,-0.88,nan,nan,nan
2007-08-15_thc,NONCAND,False,2.42,86.3,101.19999999999999,-0.62,10.3,16.3,9.895360470745024,12.693535039317783,2.79817456857276,19.38316059112549,27.757579803466797,136.060253063672,89.2456283569336,0.1217,2.1919,0.081,308.8,2.36,-0.722,nan,nan,nan
2007-08-15_thd,NONCAND,False,2.4,85.7,100.89999999999998,-0.63,10.2,15.8,9.905971530254527,12.708664516319626,2.8026929860650984,18.139080047607422,27.3667049407959,133.01906922815616,89.9045639038086,0.1161,2.2257,0.0663,305.0,2.11,-0.794,nan,nan,nan
2007-08-15_the,NONCAND,False,2.4,85.7,100.89999999999998,-0.63,10.2,15.9,9.905971530254527,12.708664516319626,2.8026929860650984,18.601858139038086,26.302035331726074,144.72347600486302,95.83047866821289,0.1056,2.2817,0.0681,299.1,1.96,-0.894,nan,nan,nan
2007-08-16_thb,NONCAND,True,2.56,57.2,55.10000000000002,1.83,10.2,15.3,9.907308175147154,12.710379337674196,2.8030711625270417,21.094446182250977,21.2208309173584,253.8807488573356,102.8471450805664,0.2262,2.963,0.1813,305.0,4.77,-0.914,nan,nan,nan
2007-08-16_thc,BORD,True,2.54,52.1,50.60000000000002,2.09,10.2,15.5,9.92202341023479,12.729257948968037,2.8072345387332476,28.77165985107422,26.048471450805664,227.82315604061336,120.45559692382812,0.5695,2.2192,0.3562,186.0,16.39,-0.73,0.669,0.754,0.108
2007-08-16_thd,REJ,True,2.54,50.5,49.80000000000001,2.12,10.3,15.3,9.922362040485329,12.728172016174609,2.8058099756892805,22.727222442626953,20.83907699584961,246.71314228009282,103.10175323486328,0.6024,2.9145,0.248,195.0,13.69,-0.795,53.294,-0.358,0.054
2007-08-16_the,NONCAND,True,2.54,50.5,49.80000000000001,2.12,10.3,15.5,9.922362040485329,12.728172016174609,2.8058099756892805,22.451814651489258,20.97064971923828,249.9657725944952,111.5958480834961,0.086,3.0098,0.0946,435.5,1.93,-0.833,nan,nan,nan
2007-08-17_tha,NONCAND,True,1.65,85.9,86.10000000000002,0.22,11.0,15.1,10.569676138171678,13.54840304983824,2.9787269116665627,17.292098999023438,21.980470657348633,190.06130785616304,73.51531982421875,0.0663,2.3209,0.0664,384.6,1.15,-0.928,nan,nan,nan
2007-08-17_thb,NONCAND,True,1.55,84.5,84.5,0.38,9.7,15.0,10.672222493158955,13.700659870754627,3.0284373775956723,14.971457481384277,16.36797332763672,191.09988077205372,61.98398208618164,0.1647,3.1891,0.0981,289.3,2.47,-0.866,nan,nan,nan
2007-08-17_thc,REJ,True,1.56,85.2,86.19999999999999,0.27,10.0,15.1,10.66043120537205,13.679998344293683,3.0195671389216336,17.31733989715576,20.439875602722168,193.0523879608113,73.26234436035156,0.5784,2.1638,0.4852,210.8,10.02,-0.919,30.746,-0.761,0.035
2007-08-17_thd,NONCAND,True,1.57,86.5,84.0,0.41,10.0,15.6,10.651936356980347,13.66909733009503,3.0171609731146827,16.328540802001953,20.71831703186035,191.03066168757053,73.93702697753906,0.0784,2.4423,0.0775,356.0,1.28,-0.903,nan,nan,nan
2007-08-17_the,NONCAND,True,1.57,86.6,83.89999999999998,0.42,10.0,15.8,10.65199706291845,13.669175230990101,3.0171781680716503,16.271800994873047,22.158021926879883,199.25170343728837,75.9138412475586,0.1538,2.229,0.0903,286.3,2.5,-0.87,nan,nan,nan
2007-08-19_tha,NONCAND,True,1.67,43.7,35.60000000000002,2.83,7.7,15.3,10.581792193128045,13.639027059930736,3.057234866802691,21.4789981842041,26.90845489501953,134.71649470137902,75.89893341064453,0.9715,1.5537,0.6368,130.9,20.87,-0.647,nan,nan,nan
2007-08-19_thb,REJ,True,1.72,83.5,57.30000000000001,2.67,8.1,16.0,10.532683288362428,13.56161232807496,3.0289290397125317,21.746116638183594,23.509614944458008,146.93822571738787,70.81859588623047,0.4758,2.1514,0.1696,103.2,10.35,-0.776,2.994,0.383,0.14
2007-08-19_thc,REJ,True,1.71,78.0,56.60000000000002,2.73,8.0,16.1,10.542711834011651,13.577859733100162,3.0351478990885106,22.164222717285156,26.32823944091797,142.1831226658007,67.67778778076172,0.5519,1.9411,0.2323,112.0,12.23,-0.911,2.997,0.804,0.299
2007-08-19_thd,A,True,1.69,76.5,56.5,2.73,7.9,16.3,10.561521504647105,13.60555304181817,3.0440315371710653,20.058725357055664,27.77684783935547,131.9856624904124,68.52328109741211,0.6792,1.7965,0.2359,109.6,13.62,-0.908,1.729,0.872,0.347
2007-08-19_the,A,True,1.69,76.4,56.39999999999998,2.73,7.9,16.0,10.561521504647105,13.60555304181817,3.0440315371710653,19.187411308288574,27.90012264251709,137.88362836052056,72.42090225219727,0.7803,1.7737,0.2529,108.2,14.97,-0.869,1.729,0.914,0.356
2007-08-21_thb,BORD,True,1.82,73.4,69.60000000000002,0.42,14.1,14.5,10.416169730802114,13.323840286672766,2.907670555870652,40.93502426147461,12.93681287765503,159.90244580011858,90.51468276977539,0.773,2.8887,1.1236,133.2,31.64,-0.915,0.223,0.918,0.429
2007-08-21_thc,REJ,True,1.76,72.1,74.69999999999999,0.41,14.4,14.6,10.4691504731861,13.389819291574169,2.9206688183880694,46.81586837768555,16.129371643066406,137.82418893096693,73.70792388916016,0.8609,2.1712,1.653,126.5,40.3,-0.845,3.409,0.995,0.687
2007-08-21_thd,REJ,True,1.74,72.7,75.60000000000002,0.42,14.5,15.6,10.487354524900631,13.412528350915572,2.925173826014941,44.44793128967285,16.29939556121826,139.56631114383413,80.54277038574219,0.8529,2.2566,1.3726,124.0,37.91,-0.766,5.894,0.971,0.498
2007-08-21_the,NONCAND,True,1.72,79.0,76.60000000000002,0.42,14.6,15.8,10.505740672554952,13.435480061213426,2.929739388658474,42.01367950439453,14.054123878479004,161.35773559328754,92.08734130859375,0.93,2.2786,1.935,133.1,39.07,-0.745,nan,nan,nan
2007-08-22_thb,BORD,True,1.35,87.2,26.799999999999955,2.32,13.5,17.5,10.922065277512774,13.975074676587075,3.053009399074302,29.170059204101562,13.584197044372559,148.95963397960767,72.837890625,0.6394,3.1886,0.4399,129.4,18.65,-0.912,0.253,0.857,0.229
2007-08-22_thc,BORD,True,1.35,87.2,26.799999999999955,2.32,13.5,18.1,10.922065277512774,13.975074676587075,3.053009399074302,31.60355567932129,13.146012306213379,149.7485539590291,74.53020858764648,0.7531,2.7925,0.8293,117.8,23.8,-0.889,0.333,0.89,0.424
2007-08-22_thd,A,True,1.35,87.2,26.799999999999955,2.32,13.5,17.7,10.922065277512774,13.975074676587075,3.053009399074302,29.39192771911621,12.99470043182373,145.9106233739565,73.24248123168945,0.6074,3.1977,0.4355,114.4,17.85,-0.903,1.315,0.899,0.284
2007-08-22_the,A,True,1.35,87.2,26.799999999999955,2.32,13.5,17.8,10.922065277512774,13.975074676587075,3.053009399074302,29.5713472366333,13.210209846496582,152.5619088104508,77.50589370727539,0.4018,3.6272,0.2429,119.1,11.88,-0.922,0.438,0.831,0.229
2007-08-25_tha,NONCAND,False,3.29,45.7,100.39999999999998,-0.99,7.6,14.3,9.402197520509976,12.122095695109552,2.7198981745995763,16.4901704788208,11.304521083831787,117.80260612346765,270.5253601074219,3.8764,3.5307,2.0004,126.3,63.92,0.009,nan,nan,nan
2007-08-25_thb,NONCAND,False,3.97,55.4,101.80000000000001,-1.31,8.1,14.3,9.101401927403531,11.718731229469181,2.6173293020656505,65.98233795166016,30.777984619140625,140.80346337745306,77.92427825927734,0.9804,1.7454,1.0911,121.7,64.69,-0.688,nan,nan,nan
2007-08-25_thc,NONCAND,False,3.85,54.2,102.89999999999998,-1.41,8.1,14.3,9.13118744635866,11.757082298233046,2.625894851874385,73.87569427490234,30.91333770751953,145.2502040470659,86.67556762695312,0.7655,1.7052,1.1127,132.6,56.55,-0.662,nan,nan,nan
2007-08-25_thd,NONCAND,False,3.81,53.8,102.89999999999998,-1.41,8.0,14.4,9.147446850757353,11.780911041776168,2.633464191018815,70.41966247558594,31.088979721069336,141.16851407018171,86.61052703857422,0.7315,1.7991,0.862,125.6,51.51,-0.759,nan,nan,nan
2007-08-25_the,NONCAND,False,3.8,53.4,102.80000000000001,-1.4,8.0,14.5,9.152233709012085,11.787075991645642,2.6348422826335565,70.96038818359375,30.407747268676758,147.92597335124532,90.80277252197266,0.715,1.7898,0.917,132.8,50.73,-0.844,nan,nan,nan
2007-08-26_thb,NONCAND,True,3.65,60.3,67.39999999999998,3.47,6.1,16.7,9.406413817835508,12.198354212643531,2.791940394808023,35.839599609375,39.083072662353516,284.66013888805776,164.37281799316406,0.254,1.8808,0.1957,309.3,9.1,-0.873,nan,nan,nan
2007-08-26_thc,NONCAND,True,3.65,60.3,67.39999999999998,3.47,6.1,16.4,9.406413817835508,12.198354212643531,2.791940394808023,29.33831214904785,38.8147087097168,256.83119046281485,167.94326782226562,0.2597,1.8662,0.2222,413.3,7.62,-0.757,nan,nan,nan
2007-08-26_thd,NONCAND,True,3.65,60.3,67.39999999999998,3.47,6.1,16.6,9.406413817835508,12.198354212643531,2.791940394808023,26.371559143066406,40.292545318603516,250.7980065169502,162.56289672851562,0.2949,1.8089,0.2185,354.0,7.78,-0.623,nan,nan,nan
2007-08-26_the,BORD,True,3.65,60.3,67.39999999999998,3.47,6.1,16.7,9.406413817835508,12.198354212643531,2.791940394808023,27.72208023071289,41.47023391723633,255.3343085932022,163.08355712890625,0.5904,1.6306,0.4228,291.8,16.37,-0.559,0.759,0.74,0.548
2007-08-27_thb,NONCAND,True,3.26,62.8,57.89999999999998,3.6,7.1,15.6,9.568040530829519,12.355840322909392,2.7877997920798734,40.186532974243164,39.586008071899414,283.38802590350593,161.3185043334961,0.3127,1.7442,0.2285,264.6,12.57,-0.835,nan,nan,nan
2007-08-27_thc,NONCAND,True,2.91,55.0,58.30000000000001,3.23,7.2,14.7,9.734819530663511,12.56681825302937,2.8319987223658583,41.32475662231445,41.74813461303711,284.8644431010989,156.74049377441406,0.3852,1.6601,0.2783,207.0,15.92,-0.884,nan,nan,nan
2007-08-27_thd,A,True,2.84,54.3,58.80000000000001,3.08,7.2,14.8,9.766645299627397,12.607902594970406,2.8412572953430093,35.86095428466797,44.061641693115234,266.44632683702577,151.02862548828125,0.4205,1.5451,0.2715,207.5,15.08,-0.893,1.0,0.981,0.298
2007-08-27_the,A,True,2.83,53.5,58.89999999999998,3.04,7.2,14.8,9.771366737178706,12.613997566470744,2.8426308292920375,29.043679237365723,50.47983741760254,250.05771338557142,149.20870208740234,0.4759,1.3515,0.283,232.5,13.82,-0.902,1.0,0.991,0.389
2007-08-30_tha,NONCAND,True,1.54,46.1,67.0,0.34,12.4,17.4,10.682206625508966,13.677128880720309,2.9949222552113426,12.656231880187988,9.376119613647461,209.19754430858978,86.23692321777344,0.0964,4.4697,0.0989,374.4,1.22,-0.313,nan,nan,nan
2007-09-04_thc,NONCAND,False,1.21,31.6,158.3,-1.21,10.0,26.0,10.911558556585135,14.002257517737874,3.0906989611527393,6.711969375610352,14.719989776611328,371.01484011736,155.50038146972656,2.004,1.3774,4.7378,364.8,13.45,0.008,nan,nan,nan
2007-09-04_thd,NONCAND,False,1.21,31.6,158.3,-1.21,10.0,26.9,10.911558556585135,14.002257517737874,3.0906989611527393,5.700069427490234,13.499435424804688,364.3343451746228,164.10821533203125,2.032,1.5926,3.5753,345.4,11.58,-0.066,nan,nan,nan
2008-06-14_thc,NONCAND,True,6.94,74.1,66.10000000000002,2.65,8.5,27.8,8.525828091930988,10.96778456359046,2.4419564716594717,67.45059204101562,40.541866302490234,211.52742644302003,175.9895782470703,2.3651,1.1896,3.7096,134.6,159.53,-0.726,nan,nan,nan
2008-06-28_thb,NONCAND,True,1.24,76.9,88.19999999999999,0.11,10.2,28.0,11.035817856007737,14.158177859371296,3.122360003363559,7.503055572509766,13.607996940612793,442.8722410735592,205.973876953125,1.0545,1.9993,1.87,427.4,7.91,-0.711,nan,nan,nan
2008-07-10_thc,NONCAND,True,1.91,80.6,60.0,1.57,11.1,22.6,10.353826509531697,13.270456827274458,2.9166303177427615,31.00156021118164,24.249326705932617,123.01375472267394,86.26251220703125,1.3895,1.0658,3.3316,126.9,43.08,-0.632,nan,nan,nan
2008-07-12_thc,NONCAND,False,2.5,65.9,102.80000000000001,-1.96,5.9,22.4,9.683436316136618,12.575879570886602,2.8924432547499848,22.037960052490234,25.61564826965332,190.7746677440572,4.289580345153809,0.9986,2.3179,0.4795,190.8,22.01,-0.794,nan,nan,nan
2008-07-14_thc,NONCAND,False,1.3,43.2,123.69999999999999,-0.7,10.8,22.1,10.861533878321058,13.925996120599661,3.064462242278603,3.1891307830810547,6.4427947998046875,633.0216740223993,394.2923583984375,2.5099,3.7286,2.9564,561.6,8.0,-0.357,nan,nan,nan
2008-07-16_thc,NONCAND,True,1.41,76.9,61.39999999999998,0.86,14.5,21.9,10.832322992248633,13.853716768594321,3.021393776345688,9.201160907745361,10.27143907546997,440.168127934983,157.35591888427734,0.0871,4.5897,0.0988,719.0,0.8,-0.884,nan,nan,nan
2008-07-18_thc,NONCAND,False,0.84,40.8,147.10000000000002,-1.47,10.7,21.6,11.493859902573476,14.737494633338041,3.2436347307645654,11.676302909851074,11.226973533630371,214.40547942725806,101.99923324584961,0.3506,3.1549,0.2692,284.8,4.09,-0.749,nan,nan,nan
2008-07-20_thc,NONCAND,True,1.02,88.7,76.80000000000001,0.44,14.5,21.3,11.37154961990782,14.543346590288172,3.1717969703803526,24.62748908996582,9.856596946716309,116.14957009489663,74.99324417114258,1.1942,2.233,2.7632,118.4,29.41,-0.49,nan,nan,nan
2008-07-24_thc,NONCAND,False,0.82,40.7,115.69999999999999,-0.78,10.8,20.5,11.635451025435497,14.917498126333951,3.2820471008984544,5.180385589599609,8.476229667663574,443.1189096837481,222.30718994140625,1.2409,1.9375,4.9237,495.5,6.43,-0.576,nan,nan,nan
2008-08-18_thd,NONCAND,False,3.55,50.6,116.19999999999999,-0.65,11.5,15.9,9.333752331081792,11.958759898296712,2.6250075672149205,19.296396255493164,20.118667602539062,553.4033143605163,185.98578643798828,0.9188,1.2617,6.8265,560.8,17.73,-0.625,nan,nan,nan
2008-08-18_the,NONCAND,False,3.87,48.8,138.39999999999998,-0.72,11.6,16.4,9.204508047502273,11.792181460325697,2.587673412823424,15.996521472930908,17.310723304748535,496.5001464680896,246.36724853515625,0.8758,2.3789,1.8967,552.7,14.01,-0.507,nan,nan,nan
2008-08-26_thc,NONCAND,True,1.16,59.1,83.60000000000002,0.21,15.1,14.8,11.149168545377599,14.255530510176829,3.1063619647992304,10.401844024658203,2.806138277053833,105.99740775498506,220.31394958496094,3.4521,6.9147,4.4061,119.2,35.91,-0.889,nan,nan,nan
2008-08-28_thb,A,True,1.61,65.4,79.89999999999998,0.63,9.7,12.1,10.614009966205794,13.625928479752085,3.0119185135462914,39.70137405395508,18.12333393096924,112.01123367797845,79.78710174560547,0.711,2.1813,0.8021,109.9,28.23,-0.842,1.0,0.923,0.952
2008-08-28_thc,A,True,1.61,65.4,79.89999999999998,0.63,9.7,14.4,10.614009966205794,13.625928479752085,3.0119185135462914,43.387081146240234,18.732335090637207,109.95686885133938,80.69290924072266,0.4762,2.3371,0.4923,119.9,20.66,-0.893,0.578,0.885,0.639
2008-08-30_thc,NONCAND,True,1.46,73.0,78.89999999999998,0.53,9.9,13.2,10.771230109154613,13.823985316270072,3.0527552071154584,28.483311653137207,15.595212936401367,152.0376263325378,92.67537307739258,0.9162,1.927,1.5407,143.0,26.1,-0.668,nan,nan,nan
2008-09-01_thb,NONCAND,False,1.62,51.3,104.39999999999998,-0.5,12.7,14.5,10.532028886916137,13.48220826793566,2.950179381019522,24.129403114318848,17.38680934906006,144.90515504254952,75.941162109375,0.5797,2.1072,0.7559,173.8,13.99,-0.546,nan,nan,nan
2008-09-03_thc,NONCAND,True,1.42,55.6,59.0,0.15,14.3,11.1,10.811977733180266,13.828891744735277,3.016914011555011,34.12123680114746,11.508995056152344,111.8718333825802,66.98761367797852,1.1143,2.7835,1.562,106.1,38.02,-0.769,nan,nan,nan
2008-09-05_thb,NONCAND,False,1.44,52.3,95.10000000000002,-0.27,10.2,9.1,10.752138873635115,13.794237683862638,3.0420988102275235,8.165106296539307,16.170331954956055,446.2860450180641,126.03958892822266,0.1298,3.2385,0.0689,435.5,1.06,-0.839,nan,nan,nan
2008-09-05_thc,NONCAND,False,1.44,52.3,95.10000000000002,-0.27,10.2,10.1,10.752138873635115,13.794237683862638,3.0420988102275235,9.080889225006104,16.003331184387207,462.9150589071328,130.08011627197266,0.1845,3.189,0.0953,451.6,1.68,-0.732,nan,nan,nan
2008-09-06_thc,NONCAND,True,2.6,55.5,34.10000000000002,1.27,13.6,6.4,9.877763280199874,12.638207190954068,2.7604439107541943,13.634800910949707,15.266838073730469,524.2225831006964,165.28587341308594,1.08,1.3191,7.9281,573.5,14.73,-0.465,nan,nan,nan
2008-09-07_thc,A,True,2.65,59.8,62.69999999999999,1.23,12.5,9.1,9.848847539420333,12.609282527769066,2.7604349883487327,13.986681461334229,15.658416748046875,525.0638741303067,161.69452667236328,0.8621,2.5192,1.5837,508.1,12.06,-0.715,0.577,0.924,0.89
2008-09-08_thc,NONCAND,False,1.69,46.3,107.10000000000002,-0.43,14.4,5.6,10.473144705231217,13.394927828836071,2.921783123604854,9.759331703186035,11.105755805969238,424.71419484469186,170.08880615234375,0.172,4.8167,0.0674,387.9,1.68,-0.891,nan,nan,nan
2008-09-09_thb,NONCAND,True,1.64,49.4,75.0,0.4,14.9,8.4,10.581587019706031,13.530845146167074,2.949258126461043,10.108537673950195,11.134228706359863,423.48418955815544,130.9755859375,0.197,4.4887,0.0951,320.2,1.99,-0.821,nan,nan,nan
2008-09-09_thc,NONCAND,True,1.64,49.4,75.0,0.4,14.9,8.1,10.581587019706031,13.530845146167074,2.949258126461043,8.704693794250488,10.556918144226074,428.64370897184153,188.50287628173828,0.2729,4.9063,0.0806,388.3,2.38,-0.861,nan,nan,nan
2008-09-10_thc,NONCAND,True,0.8,58.1,82.69999999999999,0.3,9.7,4.8,11.795986294430275,15.143312104265867,3.347325809835592,10.82871150970459,11.16073226928711,256.9567077024455,79.99678802490234,0.2462,3.3697,0.1647,231.8,2.67,-0.948,nan,nan,nan
2008-09-12_thb,REJ,True,0.61,49.5,39.80000000000001,0.84,15.4,7.5,12.298338477933376,15.723163351180496,3.42482487324712,10.278730392456055,6.978542804718018,143.021661366586,73.25382995605469,0.6956,4.1482,0.3866,107.9,7.15,-0.934,17.75,-0.122,0.085
2008-09-14_thc,NONCAND,False,6.74,54.4,102.39999999999998,-0.93,11.2,3.2,8.4394254971164,10.816271256463766,2.3768457593473666,79.71035385131836,31.40842056274414,124.1104000027883,89.14775085449219,0.5874,2.1526,0.8067,215.4,46.82,-0.788,nan,nan,nan
2008-09-14_the,NONCAND,False,6.81,52.4,98.69999999999999,-0.62,11.6,8.1,8.45910044467011,10.837216602981854,2.3781161583117445,71.45715713500977,17.953696250915527,136.66105809347903,114.42081451416016,0.2758,4.7602,0.1567,147.3,19.71,-0.744,nan,nan,nan
2008-09-15_thc,NONCAND,False,6.58,47.5,95.80000000000001,-0.39,11.8,5.6,8.527980385992137,10.923703458033378,2.395723072041241,72.62828063964844,29.607901573181152,119.90270009339724,99.74179458618164,0.7202,2.0318,1.2047,208.7,52.31,-0.757,nan,nan,nan
2008-09-16_thb,NONCAND,False,1.06,65.6,118.19999999999999,-1.26,12.2,9.6,11.124947290420236,14.24597187618863,3.121024585768394,8.391318321228027,10.031033515930176,345.54856056019116,115.54208755493164,0.3729,3.9375,0.3796,465.8,3.13,-0.701,nan,nan,nan
2008-09-16_thc,NONCAND,False,1.06,66.3,117.89999999999998,-1.24,12.3,2.4,11.127722676455257,14.248527031975181,3.1208043555199243,9.021744728088379,10.518759727478027,388.4830654509857,78.39913940429688,0.1283,4.2097,0.1146,564.9,1.16,-0.772,nan,nan,nan
2008-09-17_thb,NONCAND,False,1.04,63.9,118.5,-1.31,11.8,9.9,11.150142720224563,14.282496802003674,3.132354081779111,8.472744464874268,10.298737049102783,348.1731120994683,112.35776901245117,0.4356,3.4344,0.5194,428.6,3.69,-0.711,nan,nan,nan
2008-09-18_thc,NONCAND,False,1.42,77.8,146.10000000000002,-0.99,16.4,1.6,10.67870022488901,13.647899499586593,2.9691992746975835,26.387435913085938,11.24316120147705,187.95098634810776,58.69004440307617,0.7085,2.0575,3.8093,275.8,18.69,-0.784,nan,nan,nan
2008-09-20_thb,REJ,True,1.5,43.0,50.60000000000002,0.74,11.4,11.6,10.72977676766946,13.74857915552331,3.0188023878538495,19.578439712524414,11.450069427490234,167.38191773587397,127.10313415527344,0.5475,3.3108,0.4993,174.8,10.72,-0.803,11.868,-0.937,0.018
2008-09-20_thc,NONCAND,True,1.5,44.4,48.30000000000001,0.91,11.3,0.8,10.731855084825003,13.752453318719203,3.0205982338941997,37.96742630004883,18.00941276550293,129.75841952438097,48.835853576660156,1.048,1.8794,1.7194,127.4,39.79,-0.703,nan,nan,nan
2008-09-21_thb,REJ,True,1.5,38.7,36.69999999999999,0.73,11.4,11.7,10.729654513847727,13.748422505820194,3.0187679919724673,19.578439712524414,11.450069427490234,167.38191773587397,127.10313415527344,0.5475,3.3108,0.4993,174.8,10.72,-0.803,11.868,-0.937,0.018
2008-09-24_thb,REJ,True,1.26,85.9,61.5,1.42,11.8,14.2,11.025540197911013,14.12289031344843,3.0973501155374166,35.40730667114258,13.56523323059082,105.48672295203806,51.81156349182129,0.5921,2.961,0.4057,96.2,20.97,-0.748,4.474,0.357,0.121
2008-09-25_thb,REJ,True,1.26,85.9,61.5,1.42,11.8,14.2,11.025540197911013,14.12289031344843,3.0973501155374166,35.79549789428711,13.58006763458252,104.0027743407651,49.530643463134766,0.5862,2.9563,0.4064,96.0,20.98,-0.746,4.474,0.354,0.122
2008-09-28_thb,REJ,True,1.63,53.1,20.799999999999955,3.5,9.1,16.3,10.62882197179088,13.657638333941081,3.0288163621502022,25.43938636779785,17.75140953063965,166.28268645098444,78.48509979248047,0.6211,2.519,0.4703,150.1,15.8,-0.819,0.577,0.498,0.135
2008-09-29_thb,REJ,True,1.61,53.5,20.5,3.59,8.9,16.2,10.649811183779894,13.689430796748901,3.039619612969007,24.951475143432617,18.766148567199707,166.128863152846,71.37997817993164,0.7131,2.216,0.6172,149.0,17.79,-0.828,0.577,0.581,0.163
2008-09-30_thc,NONCAND,True,3.11,37.7,88.39999999999998,0.1,8.5,7.0,9.598160419714885,12.347252906711077,2.749092486996192,31.332855224609375,27.712462425231934,311.6516856039123,104.2535171508789,1.161,0.8608,8.2441,316.2,36.38,-0.481,nan,nan,nan
2009-06-23_thb,A,True,2.59,78.3,74.80000000000001,0.53,25.7,15.2,9.875204076587677,12.603220044322928,2.728015967735251,73.30885314941406,9.244658470153809,98.50149514373216,77.78113555908203,0.7012,3.757,1.7214,103.2,51.4,-0.791,1.0,0.956,0.581
2009-07-17_thb,REJ,True,0.68,72.2,76.60000000000002,0.33,17.9,11.3,12.090539750867379,15.446569219837917,3.3560294689705383,14.133857727050781,6.7056684494018555,159.3390418825164,70.69627380371094,0.5168,4.7572,0.427,149.1,7.3,-0.966,9.018,-0.352,0.026
2009-07-21_thb,NONCAND,True,2.21,88.9,80.0,1.24,7.2,10.8,10.123609945382574,13.06871337958046,2.945103434197886,27.892684936523438,36.112335205078125,83.02991015545112,56.11189270019531,0.928,1.6522,0.269,85.2,25.88,-0.553,nan,nan,nan
